amount,hour,distance_from_home_km,is_foreign,tx_last_24h,account_age_days,merchant_risk_score,is_fraud
54.08,5,21.08,0,6,644,0.3029,0
91.55,2,46.66,0,1,2365,0.2304,0
20.57,13,45.17,0,4,422,0.277,0
25.6,5,5.99,0,2,721,0.2013,0
11.29,8,49.31,0,0,2977,0.1892,0
105.48,20,29.24,0,1,1756,0.2969,0
69.74,19,9.65,0,4,2884,0.1846,0
52.15,13,25.25,1,1,1836,0.2542,0
117.83,2,7.32,0,1,916,0.082,0
140.95,14,7.55,0,0,614,0.0996,0
31.11,10,52.3,0,4,2263,0.1648,0
46.19,3,-999.0,0,4,206,0.2454,0
49.23,12,39.69,0,0,1487,0.1454,0
69.57,16,21.46,1,4,984,0.1014,0
109.73,0,3.19,0,0,412,0.1657,0
18.61,8,13.77,0,4,1122,0.2798,0
28.24,21,114.88,0,6,2817,0.0653,0
61.37,23,16.93,0,5,2975,0.1455,0
84.04,6,19.33,0,0,899,0.2384,0
80.69,12,24.63,1,2,1235,0.1002,0
8.36,6,11.88,0,5,1545,0.1812,0
38.45,12,3.95,0,5,2985,0.2405,0
117.88,3,41.32,0,0,1803,0.2621,0
13.19,16,25.59,1,3,2093,0.239,0
187.73,18,1.77,0,3,1891,0.3955,0
140.35,17,-999.0,0,3,1861,0.593,0
76.83,11,20.14,0,4,1067,0.0325,0
16.44,12,33.71,0,2,468,0.2046,0
33.51,22,75.32,0,5,809,0.1062,0
21.17,12,35.71,0,0,1809,0.1708,0
31.83,13,58.85,0,3,621,0.1634,0
29.2,23,27.25,0,2,1229,0.0986,0
13.82,23,10.96,0,4,1968,0.102,0
78.56,8,9.86,0,4,148,0.141,0
31.21,11,18.98,0,1,1292,0.1228,0
200.76,1,21.03,0,5,2237,0.227,0
199.8,6,37.78,0,3,2314,0.4059,0
7.98,11,12.73,1,6,1378,0.1267,0
24.23,5,0.31,1,2,1204,0.3175,0
21.27,6,6.89,0,0,82,0.2466,0
20.18,6,34.44,1,2,216,0.0714,0
15.38,16,59.29,0,3,2059,0.1829,0
38.14,7,12.39,0,3,1016,0.123,0
29.02,15,51.78,0,2,2255,0.1141,0
15.0,20,5.47,0,1,998,0.3012,0
92.48,2,78.1,1,2,1039,0.2353,0
37.59,8,-999.0,0,5,1677,0.0861,0
267.04,6,23.75,0,4,2051,0.3706,0
24.31,12,14.82,0,5,1550,0.3473,0
23.03,21,32.22,0,4,1777,0.2873,0
44.63,12,28.42,1,4,2732,0.3321,0
19.48,5,20.03,0,2,413,0.2909,0
237.91,1,7.84,0,3,242,0.3312,0
60.57,2,17.8,0,0,714,0.2462,0
54.5,2,14.51,0,3,818,0.0797,0
63.9,15,4.5,1,2,111,0.3723,0
80.97,13,8.77,0,2,2475,0.1481,0
153.38,4,40.85,1,3,140,0.0632,0
24.18,20,17.55,0,2,2542,0.3016,0
12.36,17,-999.0,0,3,2263,0.1012,0
64.03,2,23.95,0,1,578,0.1244,0
169.36,5,40.74,0,1,1865,0.2496,0
77.74,2,19.25,0,5,306,0.1167,0
50.53,4,14.5,0,2,1849,0.058,0
153.61,18,6.12,0,6,1686,0.1996,0
31.89,14,6.01,0,5,2558,0.1559,0
73.49,21,7.95,0,2,2311,0.2651,0
43.92,9,12.16,1,4,869,0.3533,0
64.57,2,28.51,0,2,2525,0.3059,0
5.28,21,4.25,0,3,552,0.178,0
25.64,17,39.01,0,4,841,0.4112,0
37.56,13,53.74,0,1,2393,0.1564,0
31.6,20,24.45,0,3,1002,0.0364,0
15.17,1,12.5,0,3,1255,0.0941,0
56.03,18,20.49,0,6,629,0.339,0
44.13,21,9.65,1,1,2894,0.2305,0
26.47,4,83.47,0,1,1202,0.0597,0
62.07,0,17.44,0,1,2581,0.3382,0
82.05,8,18.91,0,3,699,0.1653,0
66.5,7,27.04,0,3,2321,0.2399,0
16.99,15,24.64,0,2,1794,0.3042,0
114.63,19,5.06,0,1,628,0.3356,1
171.07,0,41.58,0,2,62,0.0647,0
41.81,4,53.62,0,4,1305,0.0639,0
71.23,9,77.92,0,6,700,0.2796,0
64.89,6,9.47,0,3,902,0.1348,0
50.37,17,18.48,0,0,364,0.2191,0
19.65,8,15.42,0,2,1734,0.5109,0
10.04,18,22.45,0,4,157,0.2368,0
13.96,4,6.6,0,3,713,0.0416,0
29.23,19,17.24,0,3,2609,0.2235,0
190.76,13,27.73,0,3,1014,0.3454,0
13.4,10,8.77,0,1,2423,0.1537,0
9.33,14,47.16,0,1,1387,0.2059,0
29.07,9,47.4,0,1,188,0.3217,0
54.95,14,14.25,1,4,457,0.1899,0
7.41,6,11.05,0,3,2516,0.1042,0
7.18,22,0.87,1,4,377,0.1747,0
104.66,14,5.46,0,2,1871,0.1557,0
25.81,16,14.53,0,4,2004,0.0572,0
27.88,8,15.02,0,2,659,0.2978,0
59.26,23,10.86,0,4,1834,0.1667,0
156.02,20,46.51,0,6,904,0.0117,0
79.26,11,20.73,0,2,1484,0.2572,0
18.5,11,19.77,0,3,2046,0.3915,0
7.83,20,5.21,1,2,2635,0.2578,0
5.3,19,-999.0,0,3,1463,0.2484,0
15.45,6,34.89,0,0,800,0.2743,0
77.27,19,5.3,0,2,1489,0.1005,0
53.0,5,62.24,0,3,1715,0.3065,0
20.05,13,2.53,0,6,1462,0.1574,0
11.28,22,49.78,0,3,2948,0.2304,0
181.41,11,8.41,0,4,1898,0.2829,0
43.33,22,4.3,0,2,738,0.1567,0
6.51,4,37.12,0,3,1936,0.1289,0
31.25,21,29.58,0,2,1931,0.0654,0
29.48,4,15.04,0,2,2114,0.2738,0
74.28,6,37.22,0,4,1100,0.3952,0
72.86,0,22.39,0,5,2577,0.2632,0
40.44,10,17.48,0,3,1278,0.1584,0
12.07,20,1.6,0,6,1818,0.009,0
213.74,19,4.04,0,3,366,0.1777,0
30.47,10,-999.0,0,2,337,0.3437,0
39.54,15,20.97,1,4,803,0.3378,0
43.97,12,6.24,0,4,2746,0.2096,0
64.2,8,52.27,0,2,2737,0.351,0
29.63,13,19.14,0,2,691,0.4129,0
29.42,12,6.34,0,1,2957,0.1145,0
51.61,17,2.47,0,2,2997,0.4592,0
29.79,13,15.81,0,3,1454,0.1708,0
7.36,12,5.59,1,3,444,0.215,0
62.3,17,12.18,0,4,2158,0.1146,0
10.63,22,9.24,0,3,1734,0.0335,0
112.71,17,13.4,1,4,1228,0.0804,0
21.74,3,-999.0,1,1,1425,0.1169,0
195.6,16,22.25,0,1,2081,0.0842,0
54.29,10,22.78,0,3,1079,0.2405,0
61.72,11,7.23,0,1,1411,0.1862,0
192.98,23,2.49,0,6,2881,0.0734,0
349.2,3,-999.0,0,3,2301,0.1907,0
36.66,23,63.28,0,0,1138,0.2524,0
6.89,21,3.57,1,6,1776,0.2833,0
32.55,9,54.36,0,5,2787,0.0773,0
97.01,17,36.67,0,3,991,0.1651,0
24.1,19,12.88,0,1,1158,0.2581,0
29.02,1,20.93,0,5,1275,0.2295,0
17.16,15,74.06,0,6,1963,0.136,0
255.89,13,26.54,0,2,2424,0.0877,0
28.62,15,0.43,0,3,876,0.0261,0
87.28,5,21.8,0,4,2737,0.1712,0
82.1,8,1.86,0,4,187,0.3928,0
52.31,1,39.2,0,7,296,0.2643,0
60.97,9,14.53,0,0,1561,0.1419,0
147.61,14,28.23,0,2,407,0.0692,0
29.32,18,22.78,0,5,2251,0.2452,0
83.8,19,46.62,0,3,2433,0.0455,0
20.52,13,32.9,1,5,718,0.0226,0
150.97,3,10.14,0,2,1576,0.1486,0
59.38,6,9.61,0,4,880,0.0976,0
22.4,22,46.2,0,7,2506,0.2477,0
106.14,11,9.03,0,4,611,0.2059,0
18.54,13,6.53,0,3,2111,0.2998,0
120.64,11,20.71,0,3,420,0.2386,0
5.41,4,38.0,0,2,661,0.3137,0
60.87,20,29.53,0,7,2200,0.1093,0
108.15,16,29.75,0,2,1013,0.2974,0
106.53,5,36.12,0,2,2489,0.4813,0
128.79,12,8.19,0,3,1819,0.2809,0
14.15,0,24.23,0,5,1744,0.3492,0
31.28,2,41.04,0,1,1975,0.0026,0
21.54,17,7.84,1,1,148,0.375,0
104.08,12,6.9,0,4,2037,0.0503,0
236.51,22,25.75,0,2,2504,0.3305,0
22.93,22,2.1,0,2,1323,0.1959,0
208.11,5,59.11,0,6,2359,0.0394,0
15.64,8,16.79,1,4,1726,0.372,0
365.25,22,7.41,0,4,2660,0.4315,0
12.64,23,14.21,0,0,1265,0.227,0
187.37,9,56.13,0,4,2201,0.3155,0
37.42,3,45.32,0,5,487,0.1055,0
15.18,16,27.86,0,2,1225,0.2858,0
63.67,4,9.91,0,1,208,0.2815,0
167.39,10,48.5,0,3,792,0.2457,0
27.8,15,28.32,0,5,2681,0.1531,0
24.34,0,30.31,0,2,1015,0.1749,0
85.46,17,18.31,0,2,2240,0.1762,0
118.76,7,7.69,0,4,315,0.0407,0
63.59,19,13.06,0,5,2941,0.1797,0
22.42,19,9.17,0,2,2739,0.1399,0
124.8,17,8.86,0,4,2610,0.0714,0
22.85,0,2.21,0,3,430,0.2417,0
51.78,2,-999.0,1,5,2234,0.233,0
25.91,19,9.84,0,5,2308,0.2744,0
61.97,0,-999.0,0,1,1530,0.3135,0
20.34,2,22.17,0,5,494,0.4129,0
36.89,0,4.38,0,0,784,0.3723,0
20.23,3,64.43,0,4,1825,0.0337,0
188.92,20,25.82,0,1,1491,0.1444,0
35.51,10,13.88,0,2,2635,0.3538,0
40.66,5,27.0,0,3,2678,0.1241,0
73.35,20,27.19,0,2,1638,0.0662,0
115.93,13,70.0,0,4,1513,0.1787,0
9.22,9,17.73,0,2,1373,0.4977,0
10.48,22,55.09,0,1,2881,0.1925,0
22.77,6,29.57,0,0,1345,0.3112,0
482.66,10,10.22,0,3,2639,0.1834,0
56.99,8,16.83,0,4,467,0.1234,0
34.73,2,11.8,0,4,1998,0.2406,0
13.6,9,4.76,0,8,2898,0.2914,0
87.52,16,31.17,0,4,1307,0.2784,0
33.43,10,50.69,0,3,2693,0.2192,0
23.72,21,3.29,0,1,2451,0.0966,0
12.61,3,37.61,0,4,1351,0.3054,0
53.31,16,-999.0,0,2,1901,0.4179,0
13.14,20,34.67,0,4,349,0.2672,0
114.62,20,12.13,0,3,1259,0.1957,0
93.36,22,11.04,0,2,607,0.4843,0
31.88,20,6.65,0,2,2925,0.1982,0
22.15,13,14.86,0,4,162,0.03,0
11.24,6,2.41,0,5,1355,0.2881,0
248.31,21,25.89,0,4,1813,0.2588,0
117.4,22,17.49,0,4,1155,0.272,0
27.74,4,-999.0,0,3,440,0.0921,0
67.02,23,16.19,0,2,703,0.3909,0
16.67,7,10.45,0,3,2385,0.0721,0
22.82,1,10.99,0,5,2787,0.1291,0
58.62,8,4.56,0,4,374,0.118,0
76.5,12,13.08,0,5,651,0.4171,0
16.05,11,63.25,0,2,2758,0.3137,0
49.64,14,13.04,0,1,1851,0.1644,0
75.4,3,37.02,0,5,320,0.1588,0
15.78,20,15.76,0,3,495,0.3003,0
19.28,20,16.41,0,3,1941,0.2233,0
44.68,23,1.66,0,2,733,0.1176,0
22.21,3,65.69,0,4,444,0.2089,0
176.49,19,24.69,0,2,2920,0.4112,0
7.8,17,22.64,1,3,1590,0.1718,0
60.85,9,7.03,0,3,2513,0.1058,0
33.93,23,21.89,0,6,1972,0.1052,0
257.03,10,40.75,0,3,631,0.2552,0
184.28,10,51.57,0,0,38,0.1527,0
18.73,20,1.26,0,3,244,0.3927,0
37.67,23,8.64,0,4,1769,0.2009,0
20.9,13,6.58,0,1,2800,0.1103,0
42.51,0,-999.0,0,3,1897,0.06,0
10.09,6,11.46,0,3,2030,0.2867,0
219.94,13,13.09,0,2,633,0.1418,0
86.78,19,40.94,0,4,2913,0.2461,0
135.18,0,8.56,0,1,1894,0.2952,0
38.95,15,15.88,0,4,1139,0.2332,0
114.88,14,18.49,0,5,539,0.3918,0
15.65,11,42.48,0,1,2393,0.171,0
11.14,7,26.18,0,3,1895,0.1196,0
50.76,13,17.91,0,0,30,0.1945,0
10.05,3,17.23,0,7,2887,0.1834,0
59.92,15,31.77,0,4,2113,0.21,0
100.41,12,19.2,0,4,323,0.1098,0
118.81,15,55.12,1,4,2966,0.0125,0
30.7,15,8.53,0,3,624,0.0939,0
100.41,7,11.22,0,1,1923,0.3964,0
59.22,22,58.89,1,2,1531,0.1214,0
61.92,0,13.07,0,5,400,0.0526,0
50.16,22,38.38,0,1,271,0.0394,0
21.98,18,6.66,0,3,2708,0.1667,0
15.83,22,34.47,0,3,2586,0.2336,0
4.36,13,19.13,0,6,525,0.0433,0
47.54,6,0.59,0,2,1855,0.2231,0
60.12,22,27.94,0,2,817,0.4762,0
58.03,12,5.48,0,2,1318,0.2173,0
132.67,19,29.98,0,3,1846,0.4448,0
204.0,0,40.38,0,5,2247,0.1928,0
124.38,13,6.95,0,2,1055,0.2612,0
21.13,13,84.06,0,5,687,0.2833,0
857.06,4,16.29,0,2,2538,0.0719,0
26.97,12,36.39,0,2,1860,0.263,0
32.15,11,22.61,0,5,2652,0.0761,0
53.2,6,8.91,0,2,1897,0.188,0
35.5,0,14.31,0,3,1394,0.0965,0
97.79,12,24.47,0,2,1147,0.1434,0
37.94,7,68.94,0,7,2412,0.0515,0
20.11,11,9.18,0,3,485,0.2,0
13.96,5,23.26,0,3,1830,0.1539,0
24.77,18,16.25,0,1,1358,0.0262,0
11.1,12,12.76,0,2,784,0.0828,0
19.8,4,12.29,0,3,507,0.2089,0
7.04,21,9.33,0,3,401,0.2734,0
61.52,7,5.98,0,3,1617,0.1186,0
20.78,19,38.34,0,2,1841,0.2204,0
276.03,12,24.47,0,3,2186,0.1586,0
44.52,16,25.03,0,5,597,0.0768,0
24.17,4,10.15,0,5,172,0.0464,0
244.05,21,56.46,0,4,2777,0.16,0
146.91,7,38.9,0,5,2498,0.1797,0
23.27,23,-999.0,0,6,1801,0.153,0
246.37,15,14.75,0,6,57,0.1017,1
95.32,9,-999.0,0,3,2576,0.2884,0
29.88,23,52.39,1,1,752,0.0104,0
63.61,2,1.17,0,6,1290,0.2681,0
8.65,21,19.71,0,4,617,0.0569,0
98.3,22,10.75,0,4,488,0.1812,0
17.12,9,32.4,0,1,2426,0.064,0
270.0,22,1.31,0,4,2518,0.0866,0
10.99,1,-999.0,0,6,1950,0.3186,0
19.19,3,5.54,0,3,942,0.0113,0
163.31,5,18.73,0,6,673,0.0257,0
284.03,14,4.67,0,1,844,0.628,0
9.46,15,19.06,0,5,617,0.0419,0
89.25,23,21.05,0,0,2765,0.067,0
83.51,23,25.12,1,5,398,0.2114,0
38.5,7,38.77,0,1,1058,0.1928,0
74.19,14,17.49,0,5,521,0.2361,0
100.63,2,12.43,0,7,2432,0.0781,0
332.18,14,13.13,0,1,1663,0.0937,0
44.27,12,22.67,0,3,324,0.2816,0
86.23,8,4.05,0,1,2416,0.139,0
32.14,15,21.05,1,4,98,0.4098,0
103.49,8,10.77,1,3,1052,0.0881,0
144.78,12,30.27,0,3,1479,0.3482,0
44.65,7,2.43,0,3,2156,0.3157,0
79.66,19,20.09,0,6,2991,0.217,0
65.36,11,22.85,0,3,2395,0.1301,0
101.98,15,40.0,0,4,695,0.1958,0
516.49,11,54.91,0,1,1055,0.1912,0
82.31,2,61.38,0,3,76,0.0714,0
8.26,16,18.38,0,3,2620,0.0489,0
54.72,6,51.75,0,3,130,0.0398,0
91.36,11,30.66,0,3,2372,0.3229,0
82.4,3,16.7,0,4,2683,0.2205,0
21.68,15,54.21,0,3,2614,0.1067,0
78.12,13,8.9,0,4,742,0.1812,0
10.98,9,37.59,0,3,1006,0.1426,0
10.42,14,14.72,0,4,1544,0.2282,0
14.86,7,32.2,0,4,779,0.3472,0
35.83,9,3.03,0,5,1978,0.2559,0
90.11,0,44.62,0,1,2181,0.2028,0
13.9,19,28.06,0,3,395,0.2221,0
136.88,14,17.72,0,2,317,0.3101,0
76.27,17,-999.0,0,1,2459,0.1674,0
38.2,2,11.13,0,3,1437,0.1842,0
5.77,1,27.54,0,3,538,0.4082,0
78.32,7,41.55,0,3,770,0.2007,0
162.04,16,7.12,1,2,1943,0.2709,0
51.22,13,0.15,0,0,989,0.4021,0
22.11,21,32.75,0,2,1135,0.1303,0
332.23,5,12.19,0,2,2873,0.3742,0
47.21,4,49.23,0,0,963,0.1131,0
41.32,6,-999.0,0,5,2913,0.2945,0
17.11,19,31.46,0,1,1965,0.2544,0
49.67,18,1.55,0,3,1288,0.1389,0
81.01,3,39.01,0,2,2941,0.0336,0
111.0,19,13.71,0,6,1879,0.1945,0
81.17,5,18.24,0,6,2455,0.1411,0
56.82,15,-999.0,0,3,771,0.3803,0
6.63,17,30.86,0,1,192,0.5411,0
27.65,5,3.75,0,5,1445,0.2064,0
66.79,4,-999.0,0,2,554,0.1566,0
58.08,23,14.75,0,9,2775,0.1839,0
14.76,7,2.74,1,2,2680,0.0391,0
173.91,11,34.12,0,2,2245,0.169,0
39.02,1,0.73,0,5,1482,0.1216,0
76.34,1,36.72,0,0,227,0.3192,0
50.91,15,37.85,0,5,2254,0.1222,0
184.66,2,2.65,0,1,870,0.0053,1
51.5,16,-999.0,0,3,2303,0.4221,0
97.47,1,9.06,0,5,177,0.1846,1
92.87,6,39.47,0,3,348,0.3541,0
9.25,1,2.2,1,2,963,0.1137,0
16.79,12,10.2,1,2,215,0.1063,0
121.45,6,21.46,0,3,2832,0.1925,0
95.04,19,5.82,0,0,2745,0.0082,0
18.84,8,28.38,0,0,1374,0.1438,0
59.83,16,19.19,0,0,94,0.1255,0
216.35,4,14.45,0,4,2037,0.0394,0
18.63,10,6.56,0,4,25,0.2523,0
14.92,12,60.69,0,5,1680,0.1628,0
110.33,17,22.01,0,2,234,0.0737,0
241.86,22,12.7,0,3,183,0.1863,0
98.03,14,6.68,0,5,2243,0.269,0
17.67,19,9.44,0,3,2268,0.2475,0
4.23,5,1.84,0,2,2089,0.032,0
18.16,23,22.91,0,4,956,0.3575,0
42.74,4,21.54,0,6,2384,0.2517,0
107.16,17,103.66,0,1,2972,0.0558,0
23.82,21,6.22,0,3,2193,0.1903,0
172.56,4,9.24,0,0,673,0.4113,0
12.18,19,20.54,0,2,1826,0.2314,0
81.35,12,8.11,1,1,1025,0.1532,0
173.78,12,53.93,0,6,662,0.1211,0
234.82,1,25.04,0,1,1046,0.2019,0
7.4,12,31.96,0,2,2077,0.1665,0
65.33,17,19.55,0,4,888,0.2978,0
41.47,4,14.69,0,9,2149,0.1771,0
20.78,7,32.83,0,1,2456,0.2798,0
159.9,13,8.63,0,3,1373,0.1066,0
19.24,5,15.3,0,4,278,0.2362,0
32.82,4,-999.0,0,1,1213,0.2142,0
187.69,12,6.65,0,2,781,0.1834,0
15.02,23,60.65,0,2,2095,0.0753,0
25.41,22,6.55,0,1,726,0.1248,0
22.38,2,5.74,0,2,513,0.1656,0
108.59,16,16.63,1,10,1153,0.1128,0
125.12,7,-999.0,0,5,956,0.2097,0
67.68,21,40.82,0,3,1942,0.2827,0
31.11,19,17.24,0,1,2833,0.1802,0
36.9,20,45.11,0,5,1192,0.3181,0
10.41,15,0.98,0,1,912,0.2429,0
100.46,17,10.79,0,2,452,0.2688,0
13.95,1,67.68,0,3,857,0.161,0
7.54,6,7.02,0,3,2714,0.3105,0
47.31,11,19.38,0,3,1354,0.2407,0
113.52,5,29.27,0,4,1304,0.1344,0
96.72,12,54.75,0,1,463,0.0497,0
15.85,1,-999.0,1,0,464,0.2686,0
307.96,0,31.99,0,5,103,0.2781,0
28.22,14,29.2,0,3,61,0.0608,0
14.86,13,19.26,0,2,2137,0.0373,0
66.49,1,34.24,0,2,1091,0.2073,0
5.02,18,37.19,0,2,1255,0.3176,0
36.29,11,42.36,0,2,1580,0.1005,0
71.1,6,13.78,0,2,1089,0.073,0
36.97,13,19.47,0,3,404,0.0476,0
51.34,15,11.25,0,3,720,0.2801,0
85.42,5,41.98,0,5,124,0.2219,0
139.5,4,23.35,0,2,2085,0.1718,0
26.11,3,7.65,0,4,116,0.1328,0
10.83,2,39.04,0,5,2765,0.2363,0
38.3,18,2.01,0,2,761,0.1365,0
47.28,19,25.01,0,1,411,0.3,0
100.7,16,8.31,1,7,493,0.2254,0
51.72,9,57.38,0,3,305,0.3109,0
5.6,10,9.08,0,3,1884,0.1374,0
35.79,1,17.14,0,6,435,0.0961,0
16.53,6,1.74,0,5,2613,0.1598,0
70.11,23,29.26,0,1,2454,0.0588,0
31.26,22,3.35,0,2,590,0.3455,0
29.61,22,24.0,0,2,759,0.1378,0
38.52,11,10.38,0,1,993,0.1983,0
41.1,6,54.14,0,2,1881,0.2243,0
93.76,3,28.38,0,2,1266,0.1509,0
40.14,20,15.9,0,3,1009,0.4613,0
40.84,3,7.9,0,3,879,0.0688,0
82.12,6,12.58,0,5,2864,0.3844,0
20.32,13,4.33,0,3,2610,0.0656,0
36.85,7,15.94,0,1,1144,0.3535,0
93.74,4,9.29,0,1,650,0.361,0
28.75,18,19.87,0,4,1631,0.203,0
134.31,4,17.55,0,7,2966,0.1239,0
23.07,0,8.64,0,4,2342,0.1069,0
96.77,9,32.95,0,6,2331,0.2258,0
49.57,21,8.19,0,2,1401,0.2518,0
60.36,12,41.02,0,4,1891,0.1827,0
10.18,17,27.41,0,4,2074,0.2258,0
105.71,14,13.17,0,5,568,0.1276,0
42.02,11,30.85,0,6,2690,0.3635,0
42.47,10,12.94,0,5,2745,0.1096,0
43.2,18,4.49,0,5,1672,0.053,0
25.67,22,40.24,0,2,2477,0.0314,0
11.82,0,9.62,0,0,2641,0.1216,0
30.98,7,34.08,0,2,1308,0.2236,0
155.85,10,33.84,0,3,893,0.2816,0
53.66,18,4.27,0,8,2559,0.2937,0
31.83,13,13.27,0,5,1034,0.1196,0
102.04,20,-999.0,0,5,2020,0.1889,0
23.07,10,9.95,0,3,993,0.0875,0
37.81,17,62.02,0,4,529,0.3176,0
186.34,20,15.11,0,2,904,0.1928,0
30.14,4,14.47,0,1,1132,0.2883,1
11.31,14,63.58,0,5,1485,0.0766,0
69.6,17,8.08,1,2,901,0.1658,0
26.36,10,36.91,0,5,1119,0.182,0
173.67,5,15.26,0,4,2528,0.0969,0
26.96,1,12.51,0,3,1797,0.1951,0
78.4,21,3.77,0,6,2221,0.389,0
19.6,20,0.27,0,3,2308,0.1813,0
362.48,14,15.66,0,2,221,0.1576,0
176.76,19,-999.0,0,6,415,0.3662,0
5.01,18,2.19,0,2,2367,0.2323,0
38.11,1,5.35,0,2,2545,0.1627,0
19.56,7,25.57,0,4,1939,0.5018,0
46.89,15,17.81,0,5,1423,0.1594,0
33.56,7,3.41,0,4,580,0.1062,0
40.19,19,22.51,0,6,2579,0.2075,0
18.49,7,16.46,0,3,2086,0.2338,0
186.52,10,44.86,0,5,2989,0.1173,0
15.82,3,36.86,0,2,1079,0.1025,0
84.67,15,-999.0,0,3,420,0.4038,0
70.1,22,7.64,0,5,658,0.0847,1
53.33,9,2.83,1,2,631,0.2011,0
321.14,12,2.79,0,3,2179,0.3143,0
37.22,12,25.34,0,3,1023,0.0597,0
52.42,9,-999.0,0,3,996,0.0641,0
44.46,1,13.7,0,2,1948,0.1505,0
5.91,19,4.94,0,3,321,0.1521,0
15.73,0,12.76,0,3,2022,0.2669,0
37.64,8,17.36,0,0,2057,0.2237,0
613.38,3,9.12,0,3,1023,0.0925,0
97.48,11,7.96,0,2,2123,0.2339,0
36.98,15,36.18,0,1,2055,0.2519,0
485.99,15,22.07,0,0,511,0.342,1
15.58,16,3.41,0,6,2872,0.1785,0
15.11,23,18.57,0,2,1626,0.0608,0
100.45,4,24.58,0,0,2709,0.2452,0
97.39,22,4.59,0,1,1210,0.262,0
10.1,17,10.41,0,1,1876,0.0591,0
31.58,18,50.09,0,4,2845,0.4471,0
184.16,16,13.49,0,3,49,0.0893,0
72.19,9,18.1,0,4,1466,0.1466,0
96.42,11,14.06,0,2,2709,0.3097,0
102.27,3,7.58,0,4,2106,0.3827,0
3.89,19,39.43,1,1,522,0.5704,0
10.85,21,7.79,0,10,1743,0.0615,0
73.67,15,55.1,0,3,1586,0.1319,0
17.94,19,30.44,0,6,644,0.2814,0
8.83,22,33.34,0,1,1182,0.1448,0
25.83,9,3.8,0,3,1513,0.1131,0
61.8,0,1.32,0,3,1255,0.4046,0
