customer_id,month_index,tenure_months,monthly_charges,support_calls,avg_session_minutes,data_usage_gb,churned,plan_basic,plan_premium,plan_standard
10131,1,21,96.48,3,27.07,7.22,0,0,1,0
10592,4,49,24.48,0,31.03,8.85,0,1,0,0
10633,4,52,10.15,1,26.23,6.44,0,1,0,0
10510,2,30,98.23,7,24.03,5.9,1,0,1,0
10037,1,16,57.92,1,40.22,13.1,0,0,0,1
10073,2,50,24.14,4,36.01,2.57,0,1,0,0
10259,6,26,53.71,0,37.48,9.69,0,0,0,1
10373,2,19,11.41,3,32.74,3.96,0,1,0,0
10463,0,29,64.16,2,22.11,3.02,0,0,0,1
10276,4,7,18.03,0,30.46,6.86,0,1,0,0
10248,5,48,56.76,2,25.98,5.33,0,0,0,1
10085,1,48,63.67,0,36.75,9.53,0,0,0,1
10590,6,63,22.88,3,49.35,7.75,0,1,0,0
10561,6,61,13.23,1,57.8,11.51,0,1,0,0
10576,1,31,53.02,2,35.69,4.06,0,0,0,1
10405,2,60,93.82,2,45.11,11.77,1,0,1,0
10695,4,47,51.64,1,38.82,5.2,0,0,0,1
10302,3,40,14.93,3,52.42,8.7,1,1,0,0
10364,5,47,20.89,1,42.53,9.42,0,1,0,0
10470,1,38,21.25,2,26.78,0.94,0,1,0,0
10123,3,44,34.97,3,32.79,4.14,0,1,0,0
10406,5,44,27.08,1,41.8,4.4,0,1,0,0
10259,4,24,53.71,0,39.11,9.84,0,0,0,1
10532,0,24,58.49,3,37.41,8.41,1,0,0,1
10505,1,34,60.32,2,31.65,6.87,0,0,0,1
10245,4,39,30.81,0,42.4,4.2,0,1,0,0
10144,0,55,29.62,0,29.58,6.3,0,1,0,0
10575,2,36,19.22,1,17.62,7.42,0,1,0,0
10494,2,8,59.04,2,49.52,8.33,0,0,0,1
10697,4,11,73.67,1,29.27,1.46,0,0,0,1
10355,2,56,58.98,2,32.1,7.44,1,0,0,1
10599,2,53,98.22,2,31.89,10.7,0,0,1,0
10268,4,15,19.89,2,39.78,9.81,0,1,0,0
10306,7,33,29.25,4,25.68,5.31,0,1,0,0
10337,3,40,25.85,0,17.66,5.93,0,1,0,0
10655,0,6,59.18,1,31.49,7.95,1,0,0,1
10219,2,4,23.93,2,22.57,1.74,1,1,0,0
10512,1,55,27.37,0,10.43,2.68,0,1,0,0
10553,3,23,30.02,3,24.12,0.74,0,1,0,0
10380,2,35,27.7,0,34.49,10.59,0,1,0,0
10156,4,38,48.14,1,43.57,6.4,1,0,0,1
10648,0,57,24.38,0,13.17,2.4,0,1,0,0
10552,0,34,60.18,0,40.14,4.59,0,0,0,1
10618,3,46,28.72,0,43.42,9.03,0,1,0,0
10581,3,30,64.83,1,43.48,5.05,0,0,0,1
10673,1,58,14.54,1,44.17,6.15,1,1,0,0
10348,3,54,28.8,1,57.4,10.15,0,1,0,0
10159,2,42,33.14,0,42.69,6.9,0,1,0,0
10411,1,36,53.58,0,38.57,4.29,0,0,0,1
10625,5,26,105.13,0,16.12,1.91,1,0,1,0
10236,1,39,20.95,1,41.61,9.95,0,1,0,0
10171,6,59,40.03,5,37.08,4.73,0,1,0,0
10511,5,50,31.91,0,40.35,7.06,0,1,0,0
10173,0,6,26.86,5,15.09,2.18,1,1,0,0
10610,2,46,49.03,1,29.31,8.8,0,0,0,1
10248,2,45,56.76,1,27.04,0.0,1,0,0,1
10380,5,38,27.7,1,33.24,4.84,0,1,0,0
10586,1,36,23.82,2,31.16,7.33,0,1,0,0
10638,2,8,55.29,0,35.81,10.67,0,0,0,1
10478,5,34,33.52,3,24.7,3.22,0,1,0,0
10598,1,6,27.44,3,33.32,8.0,0,1,0,0
10523,0,38,59.6,2,31.18,5.57,0,0,0,1
10330,0,21,36.74,2,24.02,0.83,1,1,0,0
10581,6,33,64.83,1,36.79,9.09,1,0,0,1
10636,2,42,88.78,1,57.36,7.46,0,0,1,0
10318,0,39,65.15,3,26.55,3.82,1,0,0,1
10231,4,43,33.7,0,63.67,11.41,0,1,0,0
10233,6,12,54.32,2,28.72,7.56,0,0,0,1
10676,6,47,101.08,2,35.73,9.55,0,0,1,0
10309,0,30,51.74,0,41.22,12.41,0,0,0,1
10493,2,30,24.66,1,26.15,4.61,1,1,0,0
10545,6,30,55.6,1,27.94,5.93,0,0,0,1
10572,0,36,47.51,2,35.79,12.22,1,0,0,1
10686,2,4,96.6,1,44.79,6.9,0,0,1,0
10563,5,61,59.16,3,22.77,3.4,0,0,0,1
10128,1,41,18.95,0,33.08,5.91,0,1,0,0
10331,4,10,63.39,1,9.49,2.91,0,0,0,1
10578,1,6,60.09,1,42.61,5.6,1,0,0,1
10389,4,18,93.01,1,44.57,10.6,0,0,1,0
10472,4,5,89.19,0,52.97,9.2,1,0,1,0
10479,4,24,57.44,2,34.53,9.15,0,0,0,1
10458,5,51,19.14,0,51.17,12.5,0,1,0,0
10099,4,7,30.67,1,25.73,2.3,1,1,0,0
10583,4,28,50.97,0,49.47,8.98,0,0,0,1
10223,0,4,14.62,0,48.92,9.79,0,1,0,0
10529,0,21,97.78,4,22.63,3.4,0,0,1,0
10579,4,21,88.95,1,31.82,6.5,1,0,1,0
10542,3,30,88.41,0,45.13,9.32,1,0,1,0
10489,4,48,23.83,0,44.44,6.12,0,1,0,0
10148,4,38,56.36,5,15.18,1.53,1,0,0,1
10144,0,55,29.62,0,29.58,6.3,0,1,0,0
10316,3,29,52.08,1,32.98,4.37,0,0,0,1
10249,4,34,98.83,0,59.06,13.36,0,0,1,0
10334,2,10,88.7,0,26.09,3.72,0,0,1,0
10304,0,43,51.74,4,52.81,8.2,1,0,0,1
10529,2,23,97.78,3,32.19,8.89,0,0,1,0
10397,0,55,22.64,4,41.0,6.65,0,1,0,0
10575,3,37,19.22,2,26.97,4.61,0,1,0,0
10068,5,61,98.99,1,36.98,9.58,0,0,1,0
10397,3,58,22.64,2,35.53,10.31,1,1,0,0
10147,4,28,46.52,2,34.05,6.36,1,0,0,1
10464,5,45,31.59,1,30.6,3.96,1,1,0,0
10315,3,33,92.98,2,29.84,4.92,0,0,1,0
10560,1,43,91.83,1,29.2,8.23,0,0,1,0
10694,5,21,49.86,1,50.05,14.55,0,0,0,1
10298,0,39,51.95,1,20.71,3.47,0,0,0,1
10351,1,44,58.96,1,35.41,5.65,0,0,0,1
10239,4,39,46.96,2,27.79,9.24,0,0,0,1
10102,2,10,13.11,2,36.65,7.56,1,1,0,0
10114,1,22,47.38,1,30.88,8.42,0,0,0,1
10240,0,29,55.23,3,42.15,7.07,1,0,0,1
10324,3,45,33.79,2,39.39,6.69,0,1,0,0
10420,1,43,86.18,2,42.12,9.59,1,0,1,0
10197,4,60,16.22,5,39.87,8.89,1,1,0,0
10634,1,55,53.66,1,34.31,5.56,0,0,0,1
10245,3,38,30.81,1,47.95,5.85,0,1,0,0
10097,1,25,46.97,0,19.7,5.08,0,0,0,1
10102,3,11,13.11,5,39.69,8.33,1,1,0,0
10671,1,10,22.94,3,29.67,5.2,0,1,0,0
10202,0,56,19.85,0,29.4,7.95,0,1,0,0
10087,0,37,58.53,0,23.93,7.61,1,0,0,1
10697,1,8,73.67,1,30.07,4.33,0,0,0,1
10050,3,29,24.29,1,12.53,3.79,0,1,0,0
10192,4,20,30.34,2,41.46,11.51,1,1,0,0
10512,4,58,27.37,2,7.43,4.14,0,1,0,0
10533,5,54,20.28,2,42.96,7.25,0,1,0,0
10502,1,59,48.3,0,59.38,13.21,0,0,0,1
10051,1,7,23.75,3,16.84,3.35,0,1,0,0
10408,0,46,10.55,5,39.95,8.51,1,1,0,0
10211,4,16,93.92,2,21.53,5.58,0,0,1,0
10309,3,33,51.74,0,46.27,12.01,0,0,0,1
10245,5,40,30.81,1,47.71,11.29,0,1,0,0
10676,1,42,101.08,2,36.8,7.45,0,0,1,0
10694,1,17,49.86,0,60.21,13.0,1,0,0,1
10099,1,4,30.67,2,17.93,3.55,0,1,0,0
10232,5,55,64.62,0,32.03,3.08,0,0,0,1
10350,2,27,24.26,1,9.49,4.15,0,1,0,0
10509,0,25,25.64,1,43.96,9.67,0,1,0,0
10192,5,21,30.34,2,37.71,6.86,1,1,0,0
10295,2,14,64.26,7,50.26,12.53,1,0,0,1
10663,0,6,16.85,3,40.49,5.42,0,1,0,0
10553,1,21,30.02,0,22.88,2.26,1,1,0,0
10036,6,64,28.12,1,29.59,9.84,0,1,0,0
10673,2,59,14.54,4,42.73,8.77,0,1,0,0
10542,4,31,88.41,0,45.98,10.47,0,0,1,0
10398,3,26,45.34,1,25.07,2.17,0,0,0,1
10645,1,20,87.98,1,22.85,8.7,0,0,1,0
10009,0,29,18.73,0,27.72,7.07,1,1,0,0
10097,0,24,46.97,2,26.12,3.98,0,0,0,1
10322,0,3,64.61,3,42.63,10.53,1,0,0,1
10624,5,60,58.84,2,28.93,5.83,0,0,0,1
10336,3,31,50.39,4,51.95,12.71,0,0,0,1
10183,1,7,23.07,0,52.23,6.47,0,1,0,0
10218,6,14,27.01,0,34.88,7.75,0,1,0,0
10437,6,48,54.85,2,43.78,5.6,0,0,0,1
10248,1,44,56.76,2,23.58,6.89,1,0,0,1
10027,3,53,88.85,2,46.15,7.93,0,0,1,0
10089,3,13,53.03,1,19.81,6.33,0,0,0,1
10485,6,7,54.27,0,32.02,6.89,1,0,0,1
10634,2,56,53.66,3,34.32,10.32,0,0,0,1
10630,0,32,19.28,2,12.43,2.45,1,1,0,0
10293,4,27,23.15,2,43.06,7.0,0,1,0,0
10368,3,9,93.2,1,16.76,0.0,1,0,1,0
10602,1,46,17.86,3,43.17,9.36,0,1,0,0
10280,3,36,94.13,1,32.46,4.76,0,0,1,0
10548,0,24,28.52,0,30.29,5.71,0,1,0,0
10129,1,25,27.91,1,23.96,2.66,1,1,0,0
10457,0,56,52.19,1,21.79,2.18,0,0,0,1
10054,2,15,59.03,2,38.18,11.83,0,0,0,1
10377,4,37,15.79,2,23.49,5.02,0,1,0,0
10600,1,30,93.62,1,51.58,7.49,0,0,1,0
10408,4,50,10.55,1,46.07,7.58,0,1,0,0
10611,0,10,25.99,1,24.38,4.35,1,1,0,0
10538,7,24,90.25,0,17.84,3.83,0,0,1,0
10643,3,13,23.95,2,35.29,4.68,0,1,0,0
10626,2,49,25.72,3,31.4,4.3,0,1,0,0
10485,6,7,54.27,0,32.02,6.89,1,0,0,1
10055,3,47,18.96,2,44.24,6.15,1,1,0,0
10010,4,32,24.97,4,16.95,3.19,0,1,0,0
10265,5,21,26.84,0,35.45,8.82,0,1,0,0
10124,1,14,20.8,2,34.73,4.65,1,1,0,0
10491,1,30,65.92,1,20.37,3.82,0,0,0,1
10439,2,7,48.51,0,51.08,11.38,0,0,0,1
10687,2,33,52.99,2,37.66,8.96,0,0,0,1
10414,3,8,100.9,2,44.68,11.56,0,0,1,0
10474,0,30,26.93,1,46.15,9.56,0,1,0,0
10306,7,33,29.25,4,25.68,5.31,0,1,0,0
10270,3,49,26.22,0,18.15,4.44,0,1,0,0
10393,0,57,97.96,2,44.69,11.7,1,0,1,0
10619,4,8,67.32,1,46.92,11.05,0,0,0,1
10473,3,62,53.62,0,46.45,7.35,0,0,0,1
10649,5,11,45.02,1,45.36,9.45,0,0,0,1
10277,0,46,12.99,0,30.21,4.76,0,1,0,0
10295,3,15,64.26,3,46.31,10.46,1,0,0,1
10109,3,40,83.33,1,29.0,6.98,0,0,1,0
10330,5,26,36.74,1,25.08,8.03,1,1,0,0
10266,0,37,21.82,0,25.58,1.35,0,1,0,0
10109,4,41,83.33,1,19.94,3.49,0,0,1,0
10548,0,24,28.52,0,30.29,5.71,0,1,0,0
10208,0,48,93.48,1,37.31,7.72,0,0,1,0
10581,1,28,64.83,0,38.38,8.91,0,0,0,1
10421,4,19,48.89,1,43.26,6.44,0,0,0,1
10458,0,46,19.14,2,50.2,8.37,0,1,0,0
10409,1,6,52.52,2,38.82,2.65,0,0,0,1
10682,2,33,96.14,2,33.16,7.2,0,0,1,0
10343,4,61,87.26,1,37.55,9.81,0,0,1,0
10108,0,35,15.75,0,29.39,4.93,0,1,0,0
10464,1,41,31.59,0,22.54,3.43,1,1,0,0
10425,1,13,102.56,1,22.9,4.83,0,0,1,0
10216,0,14,18.65,3,39.22,5.14,1,1,0,0
10112,1,48,95.9,0,40.61,10.18,0,0,1,0
10056,0,11,93.08,1,23.19,5.0,0,0,1,0
10109,1,38,83.33,2,21.59,3.09,0,0,1,0
10604,1,30,90.36,1,27.14,6.19,1,0,1,0
10105,5,33,26.68,1,42.16,7.58,0,1,0,0
10284,2,35,54.4,1,62.07,13.23,0,0,0,1
10407,0,22,29.99,0,33.54,7.8,0,1,0,0
10457,2,58,52.19,1,24.6,3.47,0,0,0,1
10474,1,31,26.93,4,43.12,12.22,1,1,0,0
10669,3,8,53.08,2,30.46,3.64,0,0,0,1
10173,1,7,26.86,2,19.48,5.13,1,1,0,0
10521,4,11,14.23,0,35.59,7.43,0,1,0,0
10627,0,29,14.47,1,49.6,10.24,0,1,0,0
10281,2,39,63.06,1,39.6,8.79,0,0,0,1
10301,5,50,29.97,0,28.14,8.08,0,1,0,0
10035,3,57,17.64,1,16.87,2.59,0,1,0,0
10491,3,32,65.92,0,23.41,5.56,0,0,0,1
10026,1,8,15.36,1,43.04,9.87,0,1,0,0
10695,0,43,51.64,2,27.36,7.93,0,0,0,1
10366,5,27,58.54,1,40.84,10.34,0,0,0,1
10060,0,11,94.42,1,28.9,4.83,0,0,1,0
10022,2,16,21.29,4,27.03,5.78,0,1,0,0
10047,2,46,31.56,1,19.08,1.81,0,1,0,0
10111,0,38,23.96,0,34.13,5.46,1,1,0,0
10357,0,29,24.5,2,36.07,7.98,0,1,0,0
10168,1,43,28.38,2,39.49,7.76,0,1,0,0
10660,1,6,23.12,2,19.97,4.97,0,1,0,0
10100,2,35,99.44,3,36.89,5.62,1,0,1,0
10605,1,11,93.32,0,45.98,9.23,0,0,1,0
10524,4,29,47.64,4,38.88,2.41,1,0,0,1
10194,2,11,24.09,0,21.18,0.0,0,1,0,0
10415,1,49,32.76,1,12.06,2.54,0,1,0,0
10060,1,12,94.42,1,29.98,9.38,0,0,1,0
10491,0,29,65.92,1,21.36,6.23,1,0,0,1
10018,4,47,16.44,1,20.33,2.83,0,1,0,0
10028,2,26,86.64,0,33.76,7.08,0,0,1,0
10596,1,20,19.95,5,42.8,13.89,1,1,0,0
10568,4,38,35.98,0,38.22,5.36,0,1,0,0
10107,7,34,57.25,1,21.61,3.32,1,0,0,1
10079,4,59,27.6,1,49.5,8.38,1,1,0,0
10597,2,30,26.37,0,53.93,10.18,0,1,0,0
10229,3,18,28.67,0,45.39,3.99,0,1,0,0
10456,2,57,18.5,2,35.55,5.38,0,1,0,0
10624,6,61,58.84,2,30.24,6.18,1,0,0,1
10285,1,45,91.73,2,20.04,4.58,0,0,1,0
10346,1,24,31.72,3,34.65,6.42,0,1,0,0
10215,6,18,34.14,0,20.97,2.65,0,1,0,0
10230,3,25,96.77,1,23.46,4.89,0,0,1,0
10040,3,40,35.0,0,39.95,9.72,0,1,0,0
10040,5,42,35.0,0,38.63,7.6,0,1,0,0
10002,4,6,30.26,2,38.13,6.19,0,1,0,0
10660,4,9,23.12,1,15.22,2.67,0,1,0,0
10543,1,48,20.53,1,22.58,3.93,0,1,0,0
10320,4,60,57.36,5,30.19,6.05,0,0,0,1
10464,6,46,31.59,3,23.91,8.2,0,1,0,0
10471,1,32,58.57,5,18.75,6.51,1,0,0,1
10353,3,20,62.38,1,33.05,6.31,0,0,0,1
10219,2,4,23.93,2,22.57,1.74,1,1,0,0
10553,4,24,30.02,4,18.56,6.41,0,1,0,0
10079,1,56,27.6,4,45.29,9.36,1,1,0,0
10327,2,48,103.21,3,41.29,9.08,0,0,1,0
10183,4,10,23.07,1,48.31,8.04,0,1,0,0
10195,0,19,49.72,1,39.58,5.5,0,0,0,1
10582,4,62,27.23,4,34.08,9.87,1,1,0,0
10685,3,61,102.5,1,42.45,5.91,0,0,1,0
10359,3,49,19.9,2,31.73,8.47,1,1,0,0
10107,0,27,57.25,1,24.51,4.47,1,0,0,1
10041,1,42,83.52,0,22.1,4.21,0,0,1,0
10458,4,50,19.14,0,51.69,8.76,0,1,0,0
10015,6,48,38.05,2,23.14,5.65,0,1,0,0
10082,2,25,30.31,1,21.35,4.69,1,1,0,0
10606,5,61,45.12,2,32.77,7.2,0,0,0,1
10259,3,23,53.71,1,42.4,7.72,0,0,0,1
10510,1,29,98.23,6,32.45,6.4,1,0,1,0
10054,1,14,59.03,1,38.66,5.74,1,0,0,1
10344,2,7,25.24,3,13.87,4.61,1,1,0,0
10412,7,43,87.57,2,11.89,3.12,0,0,1,0
10235,5,7,88.62,0,31.59,4.88,0,0,1,0
10460,1,46,30.65,0,36.39,7.11,0,1,0,0
10044,0,29,25.22,1,26.92,4.98,0,1,0,0
10448,0,18,53.82,2,32.38,6.15,0,0,0,1
10342,0,56,20.02,3,29.12,3.91,1,1,0,0
10249,6,36,98.83,3,58.15,11.27,0,0,1,0
10079,5,60,27.6,3,45.82,13.79,1,1,0,0
10327,5,51,103.21,2,43.17,8.0,0,0,1,0
10557,1,10,29.37,0,23.91,7.91,0,1,0,0
10093,2,16,29.4,3,29.76,8.56,0,1,0,0
10523,1,39,59.6,0,35.48,7.86,0,0,0,1
10566,5,56,24.34,2,22.27,0.3,0,1,0,0
10214,1,9,28.17,0,38.92,5.91,0,1,0,0
10185,1,3,102.05,2,35.33,8.84,1,0,1,0
10326,3,57,84.76,3,33.65,6.02,1,0,1,0
10155,1,27,93.15,1,30.86,6.69,0,0,1,0
10512,7,61,27.37,1,8.83,0.0,0,1,0,0
10175,0,45,102.88,1,33.07,7.44,0,0,1,0
10173,2,8,26.86,3,18.93,4.98,0,1,0,0
10461,2,17,26.45,2,52.83,7.33,0,1,0,0
10569,2,27,55.85,0,21.5,2.58,0,0,0,1
10234,3,42,103.31,1,42.67,4.75,0,0,1,0
10163,1,36,30.92,2,38.32,6.7,0,1,0,0
10008,5,36,57.63,0,31.79,7.41,0,0,0,1
10184,4,43,89.39,4,20.62,2.88,0,0,1,0
10691,0,52,63.33,0,17.71,0.73,0,0,0,1
10064,7,12,31.3,0,35.33,7.35,1,1,0,0
10104,1,18,46.41,2,21.54,5.4,1,0,0,1
10356,5,46,26.35,2,64.0,9.8,0,1,0,0
10634,1,55,53.66,1,34.31,5.56,0,0,0,1
10500,1,34,96.42,3,19.59,0.0,1,0,1,0
10129,4,28,27.91,1,26.05,5.85,0,1,0,0
10581,5,32,64.83,2,37.24,5.93,0,0,0,1
10273,2,35,95.44,1,30.84,8.86,0,0,1,0
10046,6,19,56.97,0,19.79,2.17,0,0,0,1
10619,0,4,67.32,2,52.1,7.08,0,0,0,1
10490,5,25,25.85,0,27.89,7.56,0,1,0,0
10667,2,45,38.58,0,21.04,3.98,0,1,0,0
10208,4,52,93.48,0,36.37,8.74,0,0,1,0
10001,1,20,93.12,1,40.55,6.53,0,0,1,0
10514,5,60,24.24,1,31.22,6.48,0,1,0,0
10619,2,6,67.32,1,58.09,10.68,0,0,0,1
10388,3,28,100.65,1,68.23,11.85,0,0,1,0
10628,5,50,54.82,2,24.96,1.22,0,0,0,1
10317,1,31,94.59,2,29.87,8.98,1,0,1,0
10432,2,38,27.06,5,1.87,0.82,1,1,0,0
10177,0,16,91.9,2,29.52,5.78,1,0,1,0
10164,2,31,66.94,3,28.17,7.94,1,0,0,1
10612,7,66,99.48,3,27.12,4.07,0,0,1,0
10559,5,45,19.93,1,26.81,5.31,0,1,0,0
10669,0,5,53.08,0,33.41,5.59,0,0,0,1
10524,3,28,47.64,1,55.35,6.07,0,0,0,1
10625,3,24,105.13,1,12.02,1.1,0,0,1,0
10556,2,15,97.42,0,32.13,7.26,1,0,1,0
10455,4,44,44.13,1,26.52,2.55,0,0,0,1
10673,4,61,14.54,2,41.25,10.05,0,1,0,0
10156,3,37,48.14,4,44.08,10.51,1,0,0,1
10351,4,47,58.96,0,31.71,3.65,0,0,0,1
10208,6,54,93.48,2,38.97,7.3,0,0,1,0
10651,3,48,61.48,1,33.06,3.97,0,0,0,1
10275,1,32,96.66,0,38.28,11.16,0,0,1,0
10265,2,18,26.84,3,38.52,5.72,0,1,0,0
10451,0,34,101.2,3,36.88,8.06,0,0,1,0
10480,2,9,51.29,3,27.76,4.08,1,0,0,1
10262,3,34,19.86,0,44.7,7.91,0,1,0,0
10462,5,26,60.55,3,25.42,3.93,0,0,0,1
10294,3,62,45.17,1,48.88,11.64,0,0,0,1
10017,2,7,21.81,4,35.43,7.81,0,1,0,0
10571,6,56,96.0,1,31.5,2.79,1,0,1,0
10307,4,29,31.37,1,16.33,3.17,0,1,0,0
10326,1,55,84.76,2,30.19,10.0,0,0,1,0
10485,2,3,54.27,0,32.07,8.92,0,0,0,1
10285,0,44,91.73,3,23.18,7.29,1,0,1,0
10043,0,57,48.52,1,31.53,1.34,0,0,0,1
10564,1,16,30.16,1,54.31,6.93,0,1,0,0
10589,6,33,20.75,1,12.09,3.36,0,1,0,0
10167,1,50,60.22,0,42.93,9.84,0,0,0,1
10618,0,43,28.72,0,37.79,8.37,0,1,0,0
10455,1,41,44.13,1,35.08,5.1,0,0,0,1
10178,0,27,57.74,0,50.26,9.51,0,0,0,1
10233,3,9,54.32,1,32.08,5.44,1,0,0,1
10671,4,13,22.94,4,35.5,2.57,1,1,0,0
10182,3,43,17.99,1,26.77,6.26,0,1,0,0
10241,2,26,17.22,1,17.23,4.02,0,1,0,0
10535,0,10,21.7,5,36.64,7.16,1,1,0,0
10588,1,35,60.25,0,31.86,3.46,0,0,0,1
10647,2,51,24.35,0,36.86,4.85,0,1,0,0
10231,0,39,33.7,1,69.04,9.71,0,1,0,0
10130,6,38,68.79,3,48.05,8.25,0,0,0,1
10378,3,54,98.72,1,53.78,7.25,0,0,1,0
10144,1,56,29.62,0,27.85,3.66,0,1,0,0
10264,4,51,19.54,2,21.43,3.08,0,1,0,0
10466,3,30,18.41,1,35.35,9.46,0,1,0,0
10052,3,56,43.64,1,38.84,5.87,0,0,0,1
10204,3,30,91.21,2,25.01,1.52,1,0,1,0
10560,2,44,91.83,0,30.27,3.96,0,0,1,0
10417,1,38,51.01,3,24.77,5.37,0,0,0,1
10199,3,52,38.11,1,37.85,7.32,0,1,0,0
10117,3,43,29.07,1,11.64,0.0,0,1,0,0
10158,7,39,26.38,0,34.91,7.32,0,1,0,0
10083,2,46,62.15,1,24.71,4.66,0,0,0,1
10376,5,62,93.79,1,43.88,5.15,0,0,1,0
10063,5,39,33.21,0,56.94,12.89,0,1,0,0
10161,2,13,61.04,0,17.41,4.82,1,0,0,1
10308,0,10,24.61,1,25.36,6.41,1,1,0,0
10504,0,46,21.92,1,51.77,11.3,0,1,0,0
10233,1,7,54.32,3,35.22,7.21,1,0,0,1
10073,7,55,24.14,2,23.31,6.87,0,1,0,0
10332,3,48,99.06,2,40.28,1.92,0,0,1,0
10267,3,44,48.39,1,19.36,7.11,0,0,0,1
10081,4,58,22.91,1,54.3,7.9,0,1,0,0
10270,1,47,26.22,0,6.33,4.02,0,1,0,0
10578,0,5,60.09,2,40.29,9.03,0,0,0,1
10512,2,56,27.37,2,11.06,2.25,0,1,0,0
10055,3,47,18.96,2,44.24,6.15,1,1,0,0
10683,1,12,24.33,1,36.89,6.23,0,1,0,0
10548,2,26,28.52,0,32.67,6.7,1,1,0,0
10490,7,27,25.85,1,30.54,9.98,0,1,0,0
10020,0,28,103.6,0,14.16,2.89,1,0,1,0
10191,0,54,93.06,4,28.51,6.55,0,0,1,0
10695,1,44,51.64,0,29.42,6.03,0,0,0,1
10346,2,25,31.72,2,30.25,9.48,0,1,0,0
10124,2,15,20.8,0,23.98,4.83,1,1,0,0
10155,3,29,93.15,2,33.64,7.22,0,0,1,0
10458,2,48,19.14,0,56.34,7.99,0,1,0,0
10536,3,7,58.52,3,15.29,9.66,1,0,0,1
10233,1,7,54.32,3,35.22,7.21,1,0,0,1
10083,1,45,62.15,1,21.79,3.9,0,0,0,1
10593,3,62,20.34,1,31.72,6.18,0,1,0,0
10018,3,46,16.44,0,16.24,4.9,0,1,0,0
10147,6,30,46.52,8,41.93,4.45,1,0,0,1
10430,5,35,56.09,0,40.75,8.55,0,0,0,1
10118,5,41,32.99,0,21.8,7.87,0,1,0,0
10106,1,48,104.01,1,21.93,1.68,0,0,1,0
10084,2,43,28.36,5,32.28,3.55,0,1,0,0
10218,0,8,27.01,1,34.32,3.37,0,1,0,0
10197,1,57,16.22,2,20.84,10.62,1,1,0,0
10619,3,7,67.32,1,53.22,10.98,0,0,0,1
10625,1,22,105.13,1,11.22,0.2,1,0,1,0
10439,4,9,48.51,1,48.49,11.16,0,0,0,1
10156,4,38,48.14,1,43.57,6.4,1,0,0,1
10572,4,40,47.51,3,24.02,8.52,0,0,0,1
10607,3,9,18.07,1,23.52,3.43,1,1,0,0
10658,3,27,32.82,3,39.23,6.1,1,1,0,0
10377,2,35,15.79,2,30.68,4.05,0,1,0,0
10000,3,48,56.98,4,20.22,4.31,1,0,0,1
10693,3,46,53.92,0,41.43,8.15,0,0,0,1
10063,5,39,33.21,0,56.94,12.89,0,1,0,0
10183,5,11,23.07,2,57.94,10.43,0,1,0,0
10057,5,54,57.52,1,40.45,9.98,0,0,0,1
10001,2,21,93.12,1,39.23,6.44,0,0,1,0
