department,satisfaction,monthly_hours,years_at_company,salary_band,overtime,left_company
sales,0.246,155.3,6,medium,0,0
support,0.488,182.5,7,high,0,0
support,0.146,147.1,8,medium,0,0
support,0.64,217.4,2,low,0,0
engineering,0.262,243.0,9,high,0,1
engineering,0.763,164.2,11,medium,1,0
operations,0.223,237.4,9,low,0,0
engineering,0.453,141.6,6,medium,0,1
sales,0.536,136.4,6,low,0,0
operations,0.673,207.1,14,low,0,0
support,0.767,168.0,12,medium,0,0
sales,0.892,165.1,14,low,1,1
sales,0.192,203.7,8,medium,0,0
engineering,0.266,209.6,0,low,0,1
operations,0.599,194.4,9,medium,0,0
operations,0.292,225.9,8,medium,0,0
engineering,0.26,177.5,7,low,0,0
support,0.369,151.1,3,low,1,1
operations,0.523,163.7,14,low,1,0
sales,0.401,149.4,10,high,0,1
support,0.333,225.8,4,medium,0,1
sales,0.775,182.9,14,low,0,0
sales,0.426,163.1,6,low,1,1
support,0.278,190.7,6,low,0,0
engineering,0.422,185.2,3,low,0,0
engineering,0.809,87.3,7,low,0,0
support,0.748,198.4,8,medium,1,0
operations,0.395,212.9,5,medium,0,0
support,0.231,220.9,9,medium,0,1
support,0.108,190.1,7,low,1,1
support,0.973,169.1,3,low,1,0
sales,0.826,189.7,7,low,1,0
engineering,0.153,132.3,12,low,1,1
engineering,0.898,130.6,0,low,0,0
operations,0.544,188.1,5,high,1,1
sales,0.612,185.6,14,medium,0,0
operations,0.263,164.7,10,medium,0,0
operations,0.995,205.6,11,medium,0,0
sales,0.361,200.2,6,high,0,0
operations,0.852,157.5,11,medium,0,0
sales,0.262,231.8,9,low,0,0
sales,0.705,162.8,4,low,0,0
operations,0.788,,6,low,0,0
support,0.239,153.9,10,low,0,0
engineering,0.361,163.8,3,low,0,1
engineering,0.829,218.8,6,medium,1,0
support,0.524,224.8,14,low,0,0
engineering,0.836,157.8,10,medium,1,0
sales,0.877,159.6,12,low,0,0
sales,0.836,181.4,13,low,0,0
sales,0.774,,7,low,0,0
operations,0.561,202.8,6,low,0,0
sales,0.563,179.7,13,low,0,0
support,0.832,142.9,2,medium,1,0
operations,0.634,187.5,2,medium,0,0
operations,0.49,217.4,10,low,1,1
support,0.898,147.8,9,low,0,0
sales,0.636,170.5,2,medium,1,1
support,0.85,184.6,1,low,0,0
sales,0.739,217.8,6,medium,0,0
sales,0.131,188.9,7,high,0,0
operations,0.727,210.9,4,low,0,0
engineering,0.21,156.8,11,medium,0,1
operations,0.837,202.1,3,low,1,0
engineering,0.501,145.6,10,medium,1,0
engineering,0.682,196.4,5,low,1,0
operations,0.577,199.3,14,high,0,0
sales,0.665,147.5,4,medium,0,0
sales,0.398,162.5,13,medium,0,0
engineering,0.894,137.5,1,high,1,1
support,0.903,195.8,12,low,0,0
support,0.982,143.3,8,low,1,0
engineering,0.782,172.9,5,high,1,0
sales,0.362,153.0,8,medium,0,0
sales,0.91,206.4,10,medium,0,0
engineering,0.337,201.3,11,medium,1,1
engineering,0.797,196.4,10,low,0,0
engineering,0.102,192.8,1,low,0,1
support,0.774,183.4,8,low,0,0
operations,0.319,130.8,13,high,0,0
operations,0.798,174.3,6,medium,0,0
sales,0.887,183.1,9,medium,0,0
sales,0.978,139.0,14,low,0,0
sales,0.814,132.7,11,low,0,1
sales,0.94,166.6,1,low,0,0
engineering,0.225,111.6,12,low,0,1
engineering,0.295,194.4,7,low,0,0
sales,0.886,163.5,3,low,0,1
engineering,0.905,188.8,6,low,0,0
support,0.252,189.4,6,low,0,0
operations,0.174,165.4,7,high,0,0
sales,0.63,149.2,3,low,1,0
support,0.339,157.0,14,medium,0,0
operations,0.503,151.4,12,low,0,0
sales,0.735,194.8,13,medium,0,0
support,0.944,170.1,6,low,1,0
engineering,0.227,134.4,3,medium,0,1
support,0.528,209.8,0,medium,0,0
sales,0.264,158.1,8,low,0,1
engineering,0.952,144.6,11,medium,1,0
sales,0.862,193.9,9,medium,0,1
operations,0.205,193.8,1,high,0,0
engineering,0.667,189.2,6,medium,1,0
engineering,0.454,153.0,9,medium,1,0
sales,0.685,220.0,4,medium,1,0
operations,0.721,144.7,10,medium,1,0
engineering,0.44,219.9,1,low,0,0
engineering,0.486,,3,low,0,1
engineering,0.589,166.7,14,low,1,0
sales,0.395,170.3,12,low,0,1
engineering,0.319,180.4,6,medium,0,1
engineering,0.853,187.0,1,medium,0,0
sales,0.849,203.3,11,medium,0,0
sales,0.355,166.1,1,high,1,1
sales,0.781,187.0,13,low,1,0
sales,0.332,173.3,3,medium,0,1
operations,0.335,187.1,2,low,0,1
engineering,0.339,190.0,3,high,1,1
support,0.759,234.1,5,medium,0,0
engineering,0.445,137.3,0,low,0,1
engineering,0.376,173.5,12,medium,1,0
sales,0.265,147.8,0,medium,0,0
engineering,0.586,181.2,11,medium,0,0
engineering,0.229,195.3,14,medium,0,0
support,0.475,166.4,0,low,0,1
operations,0.983,195.2,9,medium,0,0
sales,0.523,203.1,6,medium,0,0
sales,0.845,167.7,7,high,0,0
sales,0.945,189.4,5,high,0,0
engineering,0.41,153.1,13,high,0,0
support,0.585,160.6,0,medium,0,0
support,0.426,198.2,10,low,0,0
support,0.416,126.7,0,medium,0,1
sales,0.976,187.7,2,medium,1,0
engineering,0.747,185.6,9,low,0,0
operations,0.106,195.7,7,medium,0,1
operations,0.13,152.1,12,medium,0,0
sales,0.734,202.0,11,medium,1,0
engineering,0.466,144.4,7,low,0,1
sales,0.369,135.2,10,high,0,1
support,0.67,203.6,12,medium,0,0
sales,0.144,157.6,13,low,0,0
sales,0.129,192.8,12,high,0,0
sales,0.787,186.0,1,low,1,1
sales,0.104,198.8,11,low,0,0
support,0.995,164.2,1,medium,0,0
engineering,0.159,148.7,10,low,0,0
support,0.118,162.5,13,low,1,0
support,0.882,180.5,2,low,1,1
support,0.382,216.6,13,low,0,0
engineering,0.178,181.8,0,low,0,1
support,0.425,160.9,1,medium,0,0
support,0.846,159.2,6,high,0,0
operations,0.648,,6,medium,0,0
sales,0.447,176.0,3,low,0,0
sales,0.469,160.0,11,low,1,0
engineering,0.7,172.9,13,low,0,0
operations,0.629,159.7,5,medium,0,0
sales,0.76,235.1,4,low,0,0
engineering,0.179,162.4,12,low,0,0
support,0.64,187.2,1,medium,0,0
support,0.598,146.0,4,medium,1,1
sales,0.679,197.1,11,low,1,0
engineering,0.862,176.5,0,high,0,0
sales,0.124,145.2,14,low,0,0
operations,0.956,162.7,8,low,0,0
engineering,0.277,195.9,13,high,1,1
sales,0.237,135.2,13,low,0,0
support,0.465,206.0,3,low,0,1
engineering,0.971,209.2,1,low,1,0
sales,0.297,188.1,4,low,0,1
engineering,0.434,157.7,1,low,0,0
engineering,0.379,132.7,6,medium,0,0
engineering,0.421,156.4,6,medium,0,0
sales,0.705,147.4,8,low,0,1
support,0.838,191.5,10,low,0,0
sales,0.136,208.6,13,low,0,0
support,0.889,167.3,5,medium,1,0
sales,0.57,154.3,4,low,1,1
engineering,0.892,193.1,3,high,1,0
sales,0.656,93.6,6,medium,0,0
engineering,0.738,119.3,10,medium,1,0
support,0.698,190.8,12,low,0,0
sales,0.807,146.4,5,low,0,0
engineering,0.66,130.9,5,medium,0,0
operations,0.792,148.2,11,low,0,0
engineering,0.226,173.1,3,medium,0,0
engineering,0.807,201.8,13,high,0,0
engineering,0.948,188.3,12,low,1,0
support,0.437,151.0,9,high,1,0
sales,0.961,206.8,7,medium,0,0
operations,0.103,168.8,3,low,0,1
support,0.949,180.1,8,low,0,0
support,0.112,161.1,6,low,0,1
sales,0.597,187.2,4,medium,0,1
sales,0.208,181.4,9,high,0,0
sales,0.236,157.5,6,high,0,1
support,0.752,178.4,4,medium,1,0
engineering,0.891,168.7,14,medium,0,0
support,0.821,169.7,8,medium,0,0
support,0.79,184.1,0,low,0,0
engineering,0.89,204.9,2,low,1,0
support,0.154,140.6,3,low,0,0
support,0.357,165.9,3,medium,0,0
operations,0.639,136.8,7,low,1,0
sales,0.673,209.8,12,low,1,0
operations,0.805,142.5,11,low,0,0
engineering,0.596,141.6,6,medium,0,0
support,0.933,108.1,12,medium,0,0
engineering,0.293,107.7,3,high,0,0
support,0.754,180.2,6,medium,0,0
support,0.942,147.2,4,high,0,0
sales,0.412,215.5,7,medium,0,0
support,0.448,147.6,14,high,1,0
operations,0.394,183.7,5,low,0,0
sales,0.156,196.0,6,medium,1,1
support,0.72,169.6,10,low,0,0
operations,0.847,146.2,0,medium,1,1
sales,0.486,142.6,7,low,1,0
operations,0.647,169.2,14,low,0,0
operations,0.923,201.7,2,medium,0,0
sales,0.809,235.2,14,medium,0,0
sales,0.389,239.3,0,low,1,0
sales,0.887,195.6,2,low,1,0
engineering,0.821,167.1,0,high,1,0
engineering,0.652,176.1,0,medium,1,1
sales,0.801,216.1,6,medium,1,0
engineering,0.707,192.5,12,medium,0,0
engineering,0.812,114.0,5,high,0,0
support,0.158,156.4,6,medium,0,0
operations,0.12,143.4,8,medium,0,0
sales,0.549,206.6,10,low,1,1
engineering,0.216,121.1,2,low,0,0
operations,0.146,178.6,7,low,1,1
engineering,0.964,192.1,6,low,0,0
engineering,0.477,182.3,13,high,0,0
operations,0.517,112.0,13,low,1,1
sales,0.809,160.0,4,low,0,0
engineering,0.861,198.6,2,low,0,0
sales,0.331,168.7,13,low,1,1
sales,0.156,173.7,8,medium,0,0
sales,0.875,168.7,0,high,0,1
sales,0.849,161.6,3,medium,0,0
support,0.137,151.2,10,low,0,1
engineering,0.783,162.0,9,low,1,0
operations,0.834,178.9,7,medium,1,0
sales,0.769,168.3,0,low,0,0
sales,0.677,162.7,11,low,0,0
sales,0.766,176.6,8,low,1,1
operations,0.408,158.5,5,low,0,0
engineering,0.716,183.2,14,medium,1,0
engineering,0.824,196.3,10,high,0,0
engineering,0.213,188.0,8,low,0,0
support,0.45,174.9,7,medium,0,0
sales,0.217,196.8,1,medium,1,0
support,0.195,157.9,8,medium,1,1
operations,0.805,112.2,13,medium,1,0
sales,0.665,123.4,5,medium,1,0
engineering,0.453,135.1,12,low,0,0
engineering,0.623,187.7,3,low,1,0
sales,0.205,156.4,5,medium,0,0
sales,0.344,161.3,9,medium,0,0
sales,0.483,174.9,4,low,0,1
sales,0.974,188.4,0,medium,0,0
engineering,0.583,196.4,14,low,0,0
operations,0.627,169.2,5,medium,0,0
support,0.958,215.8,9,high,0,0
engineering,0.3,167.2,13,high,0,0
operations,0.456,155.0,9,low,0,0
support,0.396,,7,low,0,0
sales,0.491,174.3,13,medium,0,0
sales,0.173,157.7,1,low,1,0
sales,0.96,220.0,6,low,1,0
sales,0.45,175.2,6,medium,0,0
engineering,0.73,142.1,4,high,0,0
support,0.471,139.6,0,low,0,1
sales,0.887,199.9,5,low,1,1
support,0.852,,5,low,1,1
support,0.704,156.8,8,low,0,0
support,0.564,109.1,7,medium,0,0
engineering,0.667,147.3,7,medium,1,1
operations,0.695,134.8,9,low,0,1
engineering,0.597,153.5,2,low,0,0
sales,0.969,161.1,12,low,1,1
support,0.335,181.9,1,high,1,0
sales,0.639,150.6,4,low,0,1
sales,0.269,188.4,2,medium,1,0
operations,0.341,255.7,8,medium,0,0
engineering,0.82,162.5,8,low,0,0
support,0.838,236.1,7,low,0,0
support,0.545,182.2,8,medium,0,0
operations,0.122,209.8,11,low,1,0
operations,0.605,192.7,1,medium,0,1
support,0.483,185.7,7,low,0,0
sales,0.123,181.4,10,low,0,1
operations,0.848,163.5,5,low,1,0
sales,0.388,168.6,12,medium,1,0
sales,0.141,190.6,5,high,0,0
support,0.649,184.8,4,low,0,0
operations,0.903,231.8,11,medium,0,0
operations,0.67,172.4,5,low,0,0
engineering,0.945,181.3,1,low,0,0
sales,0.473,125.5,9,low,0,1
support,0.602,111.7,4,medium,0,0
operations,0.914,190.2,4,low,0,0
engineering,0.687,167.5,8,low,0,0
operations,0.7,176.7,0,high,1,0
operations,0.45,196.0,11,medium,0,1
support,0.21,112.2,10,medium,0,0
sales,0.339,148.7,0,low,1,0
operations,0.24,150.0,1,low,0,1
operations,0.879,166.0,3,low,0,0
operations,0.833,168.9,9,low,0,0
engineering,0.232,171.7,14,low,1,0
engineering,0.794,146.4,4,medium,1,0
engineering,0.682,147.7,0,low,0,0
operations,0.764,132.7,0,medium,0,0
support,0.996,149.0,2,low,0,0
operations,0.301,179.4,2,high,0,0
engineering,0.912,184.1,10,low,0,0
engineering,0.722,183.6,14,medium,0,0
engineering,0.729,140.6,5,low,0,0
sales,0.107,140.9,5,low,0,1
engineering,0.291,215.9,10,medium,0,1
sales,0.141,143.4,10,high,0,0
engineering,0.799,239.7,13,medium,1,0
support,0.689,181.9,14,high,1,1
sales,0.626,131.9,7,high,0,0
operations,0.234,175.9,7,low,1,0
operations,0.742,198.6,4,low,0,0
sales,0.263,175.1,2,low,0,1
sales,0.358,138.5,3,medium,0,0
engineering,0.269,158.7,8,medium,0,0
sales,0.357,155.4,14,medium,1,0
operations,0.839,166.0,4,low,0,0
sales,0.318,138.0,2,low,0,0
sales,0.47,222.9,7,medium,0,0
engineering,0.576,149.4,12,medium,1,0
support,0.44,202.4,7,medium,0,0
operations,0.597,203.0,1,medium,0,0
engineering,0.74,164.1,10,medium,1,1
operations,0.64,139.2,4,low,1,0
engineering,0.309,169.9,7,medium,0,1
engineering,0.858,185.8,7,low,0,0
engineering,0.765,141.2,6,low,1,0
