date,store_id,store_type,day_of_week,month,promo,temperature,sales_last_week,high_demand
2023-01-11,10,2,2,1,0,15.0,311.02783467394585,0
2023-01-11,11,0,2,1,0,17.8,788.735453123578,1
2023-01-11,6,0,2,1,0,17.4,1127.7779041755537,1
2023-01-11,9,1,2,1,0,11.9,500.0619392525481,0
2023-01-11,5,2,2,1,1,22.5,356.37750385328616,0
2023-01-11,2,1,2,1,0,18.7,548.2810085935911,0
2023-01-11,0,2,2,1,0,13.7,342.6759571170664,0
2023-01-12,5,2,3,1,0,13.7,443.11326062320614,0
2023-01-12,3,2,3,1,0,15.4,359.0321414619955,0
2023-01-12,7,1,3,1,1,25.096873120865904,697.6313528694809,1
2023-01-12,2,1,3,1,0,11.9,560.3098448933473,0
2023-01-12,6,0,3,1,0,18.7,1129.5118227683936,1
2023-01-12,0,2,3,1,0,19.2,331.745385900314,0
2023-01-12,11,0,3,1,0,15.9,867.2567716043247,1
2023-01-12,4,1,3,1,0,18.4,751.7225409133896,0
2023-01-12,10,2,3,1,0,16.2,325.3833233227188,0
2023-01-12,1,0,3,1,0,22.0,952.6734860545841,0
2023-01-12,9,1,3,1,0,13.2,608.7842795813208,0
2023-01-13,5,2,4,1,1,17.1,455.2625667071129,0
2023-01-13,3,2,4,1,1,15.9,385.14508648451516,0
2023-01-13,10,2,4,1,0,17.3,405.0142929609008,0
2023-01-13,0,2,4,1,0,14.4,374.383641518587,0
2023-01-13,7,1,4,1,0,17.4,668.2725366216798,0
2023-01-13,9,1,4,1,1,15.8,528.8000010590466,0
2023-01-13,11,0,4,1,0,15.6,904.7845737254106,0
2023-01-13,6,0,4,1,0,15.7,1157.1227017701178,0
2023-01-13,8,2,4,1,0,15.8,474.6213183473578,0
2023-01-13,4,1,4,1,1,11.3,604.5102447270821,0
2023-01-13,2,1,4,1,0,19.5,549.4824427244862,0
2023-01-13,1,0,4,1,0,6.5,1007.7344814750115,1
2023-01-14,10,2,5,1,0,19.0,423.250941726887,0
2023-01-14,11,0,5,1,0,18.3,1216.3943910053001,1
2023-01-14,7,1,5,1,0,12.7,754.1376059143383,1
2023-01-14,6,0,5,1,0,15.3,1697.0004791217032,0
2023-01-14,9,1,5,1,0,21.0,591.350484679675,1
2023-01-14,1,0,5,1,0,8.4,1278.517489661963,1
2023-01-14,0,2,5,1,0,14.4,450.2098042970516,0
2023-01-14,4,1,5,1,0,13.2,677.5424636349187,0
2023-01-15,7,1,6,1,0,14.1,738.706015419584,1
2023-01-15,0,2,6,1,0,17.1,469.0173423045327,0
2023-01-15,3,2,6,1,0,14.7,406.86295213588403,0
2023-01-15,11,0,6,1,1,18.5,1212.7110871190819,1
2023-01-15,6,0,6,1,0,18.2,1231.4525084393053,1
2023-01-15,4,1,6,1,0,10.2,782.2968963934992,0
2023-01-15,9,1,6,1,0,16.3,758.8688819317603,0
2023-01-15,1,0,6,1,0,14.4,1173.8988179656465,1
2023-01-15,8,2,6,1,0,15.5,341.1985457180407,0
2023-01-15,5,2,6,1,0,15.9,411.022055576154,0
2023-01-16,11,0,0,1,0,25.096873120865904,1120.7331699394156,1
2023-01-16,6,0,0,1,0,20.3,947.9359550145182,0
2023-01-16,1,0,0,1,0,17.9,1037.1400536271183,1
2023-01-16,4,1,0,1,0,14.8,810.0950829940516,0
2023-01-16,9,1,0,1,0,15.6,568.0407883904898,0
2023-01-16,8,2,0,1,0,22.0,294.3785058524964,0
2023-01-16,0,2,0,1,0,12.2,400.1681760068224,0
2023-01-16,3,2,0,1,0,12.6,334.35265893148454,0
2023-01-17,0,2,1,1,0,17.2,301.8731427333388,0
2023-01-17,9,1,1,1,0,16.2,512.0178903406227,0
2023-01-17,4,1,1,1,0,17.3,747.7206122289685,0
2023-01-17,11,0,1,1,0,13.5,955.5484411927152,1
2023-01-17,7,1,1,1,0,25.096873120865904,651.9985655710037,0
2023-01-17,2,1,1,1,0,13.8,671.0464472853996,0
2023-01-17,5,2,1,1,0,17.1,440.4174608438184,0
2023-01-17,3,2,1,1,0,13.0,361.88779636157034,0
2023-01-17,8,2,1,1,0,11.0,294.61845265815765,0
2023-01-17,6,0,1,1,0,14.8,867.5804902026405,1
2023-01-18,1,0,2,1,0,25.096873120865904,1212.867506855722,0
2023-01-18,9,1,2,1,0,11.5,500.08964074448147,0
2023-01-18,6,0,2,1,0,9.2,1032.0166834152333,1
2023-01-18,3,2,2,1,0,15.9,373.97201020459306,0
2023-01-18,0,2,2,1,0,16.1,317.9504603867014,0
2023-01-18,11,0,2,1,0,18.1,955.8837821552554,1
2023-01-18,10,2,2,1,0,14.9,366.41320215995427,0
2023-01-18,2,1,2,1,0,19.5,706.3074767702668,0
2023-01-18,8,2,2,1,0,16.1,392.6261514646081,0
2023-01-18,5,2,2,1,1,10.7,480.60418873066686,0
2023-01-18,4,1,2,1,0,14.9,945.7861071261262,0
2023-01-19,2,1,3,1,1,15.7,654.3069460849905,0
2023-01-19,8,2,3,1,0,14.6,314.3629534817689,0
2023-01-19,0,2,3,1,1,16.2,323.44269141514945,0
2023-01-19,4,1,3,1,0,18.0,737.0899159530113,0
2023-01-19,7,1,3,1,0,25.096873120865904,884.9287922325599,0
2023-01-19,9,1,3,1,1,15.3,496.58928871564865,0
2023-01-19,10,2,3,1,0,16.0,352.141644953876,0
2023-01-19,11,0,3,1,0,11.8,993.3259718215961,1
2023-01-19,3,2,3,1,0,16.0,354.9785840982991,0
2023-01-19,5,2,3,1,0,15.1,376.7663791343436,0
2023-01-20,5,2,4,1,0,12.4,524.4449881584146,0
2023-01-20,7,1,4,1,1,15.5,721.5030076202291,0
2023-01-20,4,1,4,1,0,14.7,782.9812068914437,0
2023-01-20,1,0,4,1,0,20.0,857.3492908567745,1
2023-01-20,0,2,4,1,1,14.1,332.0384125283262,0
2023-01-20,6,0,4,1,0,14.2,750.5998214639815,0
2023-01-20,3,2,4,1,0,18.1,384.20994057718525,0
2023-01-20,9,1,4,1,0,20.5,702.8899390404692,0
2023-01-20,2,1,4,1,0,13.2,607.1604715735895,0
2023-01-20,10,2,4,1,0,15.6,325.7861005085759,0
2023-01-20,11,0,4,1,0,25.096873120865904,779.7435190502463,1
2023-01-21,5,2,5,1,0,17.5,450.92057901512237,0
2023-01-21,11,0,5,1,0,20.2,1116.9251311626315,1
2023-01-21,0,2,5,1,0,17.5,416.62826452926885,0
2023-01-21,4,1,5,1,0,9.3,757.4638409965156,1
2023-01-21,10,2,5,1,0,19.1,389.67179356962544,0
2023-01-21,6,0,5,1,0,15.4,812.4402881705191,1
2023-01-21,3,2,5,1,0,10.7,335.1018040732919,0
2023-01-21,8,2,5,1,0,15.3,433.90141867657644,0
2023-01-21,9,1,5,1,0,13.5,876.3219156732496,0
2023-01-21,2,1,5,1,0,15.6,739.6165502012576,0
2023-01-22,4,1,6,1,0,16.6,697.7737358984785,1
2023-01-22,8,2,6,1,0,15.6,404.29101774093044,0
2023-01-22,7,1,6,1,0,21.4,918.5623255567112,0
2023-01-22,5,2,6,1,1,13.1,414.39756159154825,0
2023-01-22,3,2,6,1,0,13.5,360.0432002071259,0
2023-01-22,11,0,6,1,1,14.9,1367.7625749093615,1
2023-01-22,1,0,6,1,0,19.9,1227.0139109608567,1
2023-01-22,6,0,6,1,1,21.1,858.3394305375051,1
2023-01-22,10,2,6,1,1,15.8,406.0549438611703,0
2023-01-22,2,1,6,1,0,16.0,786.9264012231653,0
2023-01-22,9,1,6,1,0,19.3,717.6691851799685,0
2023-01-23,1,0,0,1,0,16.1,933.9424644635825,1
2023-01-23,8,2,0,1,0,16.3,302.0053723060937,0
2023-01-23,10,2,0,1,0,18.5,437.6632542088251,0
2023-01-23,3,2,0,1,0,16.8,303.7433304403352,0
2023-01-23,7,1,0,1,0,18.2,705.6836969915879,0
2023-01-23,6,0,0,1,0,14.7,820.8874682769484,1
2023-01-23,11,0,0,1,0,15.1,999.589657110084,1
2023-01-23,2,1,0,1,0,8.6,648.9086286295417,0
2023-01-24,10,2,1,1,0,15.8,346.3601860775712,0
2023-01-24,5,2,1,1,0,18.1,372.7805830318634,0
2023-01-24,2,1,1,1,0,13.5,595.326255568608,0
2023-01-24,7,1,1,1,0,13.0,712.6403394735771,0
2023-01-24,11,0,1,1,0,17.4,1007.1729262431479,1
2023-01-24,0,2,1,1,0,11.6,267.4738032365876,0
2023-01-24,3,2,1,1,0,25.096873120865904,315.63677096195397,0
2023-01-24,1,0,1,1,0,16.4,1231.1618473915053,1
2023-01-24,4,1,1,1,0,25.096873120865904,613.5817662960584,0
2023-01-25,10,2,2,1,0,16.0,359.5017241332336,0
2023-01-25,11,0,2,1,0,15.9,877.5705782012797,1
2023-01-25,6,0,2,1,0,16.4,969.355740606132,1
2023-01-25,9,1,2,1,0,16.3,723.3012708511716,0
2023-01-25,4,1,2,1,1,17.8,712.5295165975377,0
2023-01-25,5,2,2,1,0,14.7,538.3787876218621,0
2023-01-25,1,0,2,1,0,18.1,815.5143698036007,1
2023-01-25,0,2,2,1,0,17.7,241.80930377222916,0
2023-01-25,7,1,2,1,0,15.5,665.974487868076,0
2023-01-25,2,1,2,1,0,13.7,558.5519883521353,0
2023-01-26,7,1,3,1,0,12.6,649.3194566237473,0
2023-01-26,10,2,3,1,0,15.4,286.926621782441,0
2023-01-26,1,0,3,1,0,17.0,946.9046190435558,1
2023-01-26,11,0,3,1,0,19.6,909.8679790848117,1
2023-01-26,2,1,3,1,0,12.8,718.6981051996111,0
2023-01-26,8,2,3,1,0,25.096873120865904,370.93240252301234,0
2023-01-26,6,0,3,1,0,17.2,1002.8759707606519,1
2023-01-26,3,2,3,1,1,13.4,284.00508591827236,0
2023-01-26,0,2,3,1,1,14.7,380.45416426219646,0
2023-01-26,9,1,3,1,0,19.5,753.5169330768642,0
2023-01-26,4,1,3,1,0,14.5,682.109308932791,0
2023-01-27,4,1,4,1,0,19.5,694.9722396905969,0
2023-01-27,3,2,4,1,0,8.4,295.4744353292125,0
2023-01-27,6,0,4,1,0,16.1,774.1110778297088,1
2023-01-27,9,1,4,1,0,19.2,572.0249108662907,0
2023-01-27,8,2,4,1,1,15.8,379.1418101896307,0
2023-01-27,7,1,4,1,1,18.8,782.7247566276706,0
2023-01-27,10,2,4,1,0,8.7,265.7840647484766,0
2023-01-27,0,2,4,1,0,15.2,440.7280118962021,0
2023-01-27,11,0,4,1,0,17.7,871.0237127519742,1
2023-01-27,1,0,4,1,0,14.1,879.0476354245945,1
2023-01-28,6,0,5,1,0,15.5,1029.5225228955153,1
2023-01-28,1,0,5,1,0,13.2,1240.6812811372947,1
2023-01-28,10,2,5,1,0,25.096873120865904,356.20896397689785,0
2023-01-28,8,2,5,1,0,10.2,413.8156760214337,0
2023-01-28,9,1,5,1,0,19.6,724.485122123448,0
2023-01-28,7,1,5,1,0,15.6,740.7716789813455,0
2023-01-28,3,2,5,1,0,16.5,336.25623490526056,0
2023-01-29,1,0,6,1,0,21.4,1314.4332931766094,1
2023-01-29,5,2,6,1,0,11.3,521.6082804630851,0
2023-01-29,7,1,6,1,0,15.8,763.5137324590421,1
2023-01-29,10,2,6,1,0,13.2,496.593554078868,0
2023-01-29,11,0,6,1,0,25.096873120865904,1420.035541265351,1
2023-01-29,0,2,6,1,0,13.8,467.22953260461645,0
2023-01-29,8,2,6,1,0,25.096873120865904,443.3174160214715,0
2023-01-29,2,1,6,1,0,10.0,766.3171891268107,1
2023-01-29,9,1,6,1,0,12.4,775.0897409081656,0
2023-01-29,4,1,6,1,0,14.9,869.3625176577805,0
2023-01-30,10,2,0,1,0,13.9,347.2293188166647,0
2023-01-30,8,2,0,1,0,17.8,382.9819963395237,0
2023-01-30,7,1,0,1,0,10.3,662.0311591698237,0
2023-01-30,5,2,0,1,0,18.6,385.6806625029526,0
2023-01-30,2,1,0,1,0,17.4,596.6516997854793,1
2023-01-30,6,0,0,1,0,12.9,864.2503987097745,1
2023-01-30,4,1,0,1,0,14.4,790.349872917724,0
2023-01-30,11,0,0,1,0,16.1,871.4278647205467,1
2023-01-30,9,1,0,1,0,19.3,579.5889882549151,0
2023-01-30,1,0,0,1,0,25.096873120865904,1018.9648924957959,1
2023-01-31,4,1,1,1,1,12.2,660.3595322654843,0
2023-01-31,3,2,1,1,0,12.2,381.081928184306,0
2023-01-31,9,1,1,1,1,15.3,607.6199609024545,0
2023-01-31,11,0,1,1,0,15.2,928.1751175188402,1
2023-01-31,10,2,1,1,0,19.4,352.36537992923195,0
2023-01-31,8,2,1,1,0,12.5,343.0542506602611,0
2023-01-31,2,1,1,1,0,15.9,616.4908387615186,0
2023-01-31,5,2,1,1,0,7.3,362.4110631926063,0
2023-01-31,1,0,1,1,0,17.3,876.4765956350709,1
2023-02-01,4,1,2,2,1,15.9,839.7443482044872,0
2023-02-01,2,1,2,2,0,10.6,655.6272064858044,0
2023-02-01,0,2,2,2,0,18.1,385.48617569096564,0
2023-02-01,3,2,2,2,0,14.2,368.09399565439014,0
2023-02-01,5,2,2,2,0,15.2,343.1887209845809,0
2023-02-01,9,1,2,2,0,18.6,571.699899380284,0
2023-02-01,6,0,2,2,0,18.2,846.5201123480906,1
2023-02-01,1,0,2,2,0,15.7,878.5188802605577,0
2023-02-01,8,2,2,2,0,18.0,385.49815797109864,0
2023-02-01,10,2,2,2,0,12.8,371.1985741303837,0
2023-02-02,6,0,3,2,0,25.096873120865904,918.7289208905196,1
2023-02-02,1,0,3,2,0,17.2,868.4528159325789,0
2023-02-02,5,2,3,2,0,12.2,368.3121372865345,0
2023-02-02,3,2,3,2,0,19.5,404.0102226478294,0
2023-02-02,2,1,3,2,0,11.7,746.7811735682756,0
2023-02-02,7,1,3,2,0,18.8,627.8385383206703,0
2023-02-02,10,2,3,2,0,14.4,349.7625888730777,0
2023-02-02,0,2,3,2,0,20.0,455.1155432959014,0
2023-02-02,8,2,3,2,1,12.2,363.95374019903267,0
2023-02-03,3,2,4,2,1,12.4,348.12250839562324,0
2023-02-03,9,1,4,2,0,14.2,503.91861857039646,0
2023-02-03,1,0,4,2,0,20.0,912.222180424657,0
2023-02-03,5,2,4,2,0,25.096873120865904,451.9221579393188,0
2023-02-03,0,2,4,2,0,20.4,336.9700696462447,0
2023-02-03,10,2,4,2,0,11.8,329.6798520997379,0
2023-02-03,6,0,4,2,0,18.2,1024.6241728562377,1
2023-02-03,2,1,4,2,0,15.2,871.6634200807922,0
2023-02-03,4,1,4,2,0,13.9,682.4788357913676,0
2023-02-03,7,1,4,2,0,21.4,818.3423956754151,0
2023-02-04,8,2,5,2,0,18.6,441.17454874404046,0
2023-02-04,9,1,5,2,0,20.1,557.5287999078273,0
2023-02-04,1,0,5,2,0,16.8,1178.7912130279599,1
2023-02-04,2,1,5,2,0,12.6,1084.526595219449,1
2023-02-04,6,0,5,2,1,14.5,1239.2145569863974,1
2023-02-04,0,2,5,2,0,17.5,411.3683592968048,0
2023-02-04,3,2,5,2,0,9.5,469.59130928765995,0
2023-02-04,4,1,5,2,0,17.1,890.1483342114507,0
2023-02-04,11,0,5,2,0,10.2,1469.2455626575136,1
2023-02-04,10,2,5,2,0,19.3,401.50771211271046,0
2023-02-05,7,1,6,2,0,13.0,872.7986200795511,1
2023-02-05,0,2,6,2,0,23.5,350.1611251917095,0
2023-02-05,2,1,6,2,0,18.0,926.9072673833396,0
2023-02-05,4,1,6,2,0,13.4,721.7514596686184,0
2023-02-05,1,0,6,2,0,15.7,1116.7124985288465,1
2023-02-05,9,1,6,2,0,12.6,655.520053155771,0
2023-02-05,5,2,6,2,0,23.0,466.77152272534966,0
2023-02-05,3,2,6,2,0,12.0,585.8278739747883,0
2023-02-05,8,2,6,2,0,25.096873120865904,476.1547482163404,0
2023-02-05,6,0,6,2,0,16.5,1267.1145420252064,1
2023-02-06,7,1,0,2,0,17.3,653.6978843317964,0
2023-02-06,9,1,0,2,1,20.1,611.1298658792299,0
2023-02-06,8,2,0,2,0,9.8,384.35931324411257,0
2023-02-06,6,0,0,2,0,14.2,1026.979695192421,1
2023-02-06,5,2,0,2,0,14.3,381.75693823208195,0
2023-02-06,3,2,0,2,0,19.1,385.5232136848071,0
2023-02-06,4,1,0,2,0,13.0,567.60104788455,0
2023-02-06,11,0,0,2,0,11.6,1227.3399179949572,1
2023-02-06,2,1,0,2,0,15.9,863.2388998733545,0
2023-02-06,1,0,0,2,0,16.2,955.4652005981603,0
2023-02-07,4,1,1,2,0,18.1,752.4413711493285,0
2023-02-07,0,2,1,2,1,17.2,262.27211377707164,0
2023-02-07,11,0,1,2,0,20.4,1065.6946511278397,1
2023-02-07,1,0,1,2,0,15.8,958.3989929321972,1
2023-02-07,6,0,1,2,0,13.7,1094.046878569857,1
2023-02-07,8,2,1,2,0,20.6,410.546869128777,0
2023-02-07,3,2,1,2,0,12.2,361.0691954268431,0
2023-02-07,9,1,1,2,0,10.5,772.5357297837188,0
2023-02-07,5,2,1,2,0,24.9,407.8166169840223,0
2023-02-08,8,2,2,2,0,14.3,419.53933361257293,0
2023-02-08,1,0,2,2,0,19.1,843.3078840559623,1
2023-02-08,4,1,2,2,0,20.2,772.9868692952855,0
2023-02-08,7,1,2,2,0,16.4,664.0017582633922,0
2023-02-08,0,2,2,2,0,15.5,337.4236513863179,0
2023-02-08,9,1,2,2,0,16.7,593.7494508880658,0
2023-02-08,10,2,2,2,0,14.3,332.94151657667027,0
2023-02-08,5,2,2,2,1,15.1,449.10686173041796,0
2023-02-08,3,2,2,2,0,25.096873120865904,352.8732935772859,0
2023-02-08,6,0,2,2,0,15.9,1152.6091305901284,1
2023-02-09,8,2,3,2,0,13.4,496.8045724078674,0
2023-02-09,4,1,3,2,0,12.7,659.8293409046015,0
2023-02-09,5,2,3,2,0,17.1,433.23785452579995,0
2023-02-09,9,1,3,2,0,12.4,570.7024812739944,0
2023-02-09,7,1,3,2,0,17.4,697.0831505992627,0
2023-02-09,1,0,3,2,0,11.5,729.9288279262877,1
2023-02-09,10,2,3,2,0,17.8,352.4954666852382,0
2023-02-09,11,0,3,2,0,11.6,1320.5695684108616,1
2023-02-09,3,2,3,2,1,13.3,351.591972209354,0
2023-02-10,8,2,4,2,0,13.9,382.6926577197057,0
2023-02-10,9,1,4,2,0,14.1,524.5595010409836,0
2023-02-10,3,2,4,2,0,16.5,494.58597597470236,0
2023-02-10,1,0,4,2,0,25.096873120865904,775.7350227435934,1
2023-02-10,5,2,4,2,0,17.9,458.2831474987206,0
2023-02-10,6,0,4,2,0,17.7,1064.7895754385772,1
2023-02-10,11,0,4,2,0,15.6,995.0455409578499,1
2023-02-10,2,1,4,2,0,21.4,600.6452572281826,0
2023-02-11,1,0,5,2,0,25.096873120865904,1036.0265950821126,1
2023-02-11,2,1,5,2,0,15.4,849.0288530087715,0
2023-02-11,0,2,5,2,0,21.7,426.2987589527307,0
2023-02-11,8,2,5,2,0,13.8,443.2742162509607,0
2023-02-11,3,2,5,2,0,15.8,461.584131036269,0
2023-02-11,6,0,5,2,0,11.0,1508.5274852483672,1
2023-02-11,7,1,5,2,0,17.0,1153.8325129936425,0
2023-02-11,11,0,5,2,0,15.0,1206.071305649327,1
2023-02-12,9,1,6,2,1,9.4,786.413558438841,1
2023-02-12,0,2,6,2,0,17.1,393.9636859877936,0
2023-02-12,3,2,6,2,0,16.5,487.69619163510714,0
2023-02-12,1,0,6,2,0,16.9,935.964748864555,1
2023-02-12,2,1,6,2,0,11.0,675.2251024757815,0
2023-02-12,10,2,6,2,0,19.1,401.3697581770987,0
2023-02-12,8,2,6,2,0,18.0,387.7724001786357,0
2023-02-12,11,0,6,2,1,15.3,1023.266698463945,1
2023-02-12,7,1,6,2,0,15.4,881.8606283123963,1
2023-02-13,7,1,0,2,0,19.8,713.0330501196811,0
2023-02-13,2,1,0,2,0,25.096873120865904,535.4404914603274,0
2023-02-13,6,0,0,2,0,15.3,1077.5077342092202,1
2023-02-13,5,2,0,2,0,16.1,405.84016720759644,0
2023-02-13,9,1,0,2,0,12.9,812.2376070683873,0
2023-02-13,3,2,0,2,0,14.4,433.9698667003957,0
2023-02-13,11,0,0,2,0,16.9,913.6050470283398,1
2023-02-13,0,2,0,2,0,17.3,324.7365327655814,0
2023-02-13,8,2,0,2,0,18.5,311.3996403169014,0
2023-02-13,1,0,0,2,0,18.7,811.194965235786,1
2023-02-14,10,2,1,2,0,12.6,326.1286032151391,0
2023-02-14,3,2,1,2,0,18.3,437.4639817604769,0
2023-02-14,6,0,1,2,0,18.6,1067.5454951447862,1
2023-02-14,7,1,1,2,0,13.7,791.9442613029267,0
2023-02-14,5,2,1,2,0,15.3,378.1898347899777,0
2023-02-14,8,2,1,2,0,13.1,342.88123225496156,0
2023-02-14,9,1,1,2,0,15.6,725.5793241953406,0
2023-02-14,1,0,1,2,0,21.4,849.2278661458129,1
2023-02-14,0,2,1,2,0,19.3,446.8763497776248,0
2023-02-14,2,1,1,2,0,15.1,696.2904399503495,0
2023-02-14,11,0,1,2,0,19.4,942.9113786489972,1
2023-02-15,1,0,2,2,0,14.3,902.8095362288612,1
2023-02-15,3,2,2,2,0,15.1,481.6092632023184,0
2023-02-15,11,0,2,2,0,18.2,989.7075128127283,1
2023-02-15,8,2,2,2,0,17.6,332.60815111574226,0
2023-02-15,7,1,2,2,0,16.0,732.5220255854396,0
2023-02-15,4,1,2,2,0,14.2,672.2865827595132,0
2023-02-15,10,2,2,2,0,20.5,344.7431689061608,0
2023-02-15,2,1,2,2,0,20.8,787.5327278366674,0
2023-02-16,4,1,3,2,0,13.9,570.5466670026788,0
2023-02-16,8,2,3,2,0,20.1,361.94227936650225,0
2023-02-16,9,1,3,2,0,16.0,700.4895637736229,0
2023-02-16,5,2,3,2,1,15.6,406.0277416554468,0
2023-02-16,3,2,3,2,0,18.6,517.7931820065548,0
2023-02-16,7,1,3,2,0,25.096873120865904,620.4932060208569,0
2023-02-16,10,2,3,2,0,15.1,337.8172933777348,0
2023-02-16,6,0,3,2,0,17.7,1090.7134407152842,1
2023-02-16,2,1,3,2,0,13.4,666.1611007990953,0
2023-02-16,1,0,3,2,1,19.6,863.0247708826016,1
2023-02-17,0,2,4,2,0,22.0,352.67013014855644,0
2023-02-17,1,0,4,2,0,19.5,956.1746313649038,1
2023-02-17,2,1,4,2,0,13.3,607.8788384030837,0
2023-02-17,4,1,4,2,1,18.0,791.0264215279843,1
2023-02-17,8,2,4,2,0,16.5,416.41593598093954,0
2023-02-17,6,0,4,2,0,25.096873120865904,1151.8070793947056,1
2023-02-17,5,2,4,2,0,20.3,418.520145393181,0
2023-02-17,11,0,4,2,0,20.0,1028.7918071822578,1
2023-02-18,3,2,5,2,0,16.1,383.9210381017417,0
2023-02-18,4,1,5,2,0,17.1,776.3432274280008,0
2023-02-18,11,0,5,2,0,20.2,1193.5861663269504,1
2023-02-18,5,2,5,2,0,17.1,517.3142030234097,0
2023-02-18,6,0,5,2,0,22.5,1239.1867205819838,1
2023-02-18,0,2,5,2,0,14.4,447.4668313199192,0
2023-02-18,1,0,5,2,0,21.1,1057.7912883785393,1
2023-02-18,9,1,5,2,0,16.5,841.9075529979685,0
2023-02-18,8,2,5,2,0,17.6,556.5861093442908,0
2023-02-18,2,1,5,2,0,21.9,690.4637979681034,0
2023-02-18,7,1,5,2,0,14.3,782.3950890861836,0
2023-02-19,8,2,6,2,0,12.6,547.4897046689698,0
2023-02-19,10,2,6,2,0,17.2,336.42569555155717,0
2023-02-19,4,1,6,2,0,24.6,803.0208994959813,0
2023-02-19,1,0,6,2,0,22.3,1106.811414949426,1
2023-02-19,11,0,6,2,1,13.3,1653.4119354097297,1
2023-02-19,7,1,6,2,0,25.096873120865904,881.7832901417671,1
2023-02-19,9,1,6,2,0,16.6,995.5895481022391,0
2023-02-19,6,0,6,2,1,17.1,1196.0090960237403,1
2023-02-19,5,2,6,2,0,19.2,492.8289488755198,0
2023-02-20,9,1,0,2,1,19.1,598.1451642125239,0
2023-02-20,3,2,0,2,0,15.2,319.5651577148929,0
2023-02-20,10,2,0,2,0,20.7,281.96699632252,0
2023-02-20,1,0,0,2,0,18.8,942.5671035038107,1
2023-02-20,11,0,0,2,0,18.1,1166.3840765788873,1
2023-02-20,4,1,0,2,0,19.5,611.1854595730849,0
2023-02-20,8,2,0,2,0,15.7,377.91695455457284,0
2023-02-20,2,1,0,2,1,13.0,591.8258034777276,1
2023-02-20,0,2,0,2,0,18.3,422.59970597049625,0
2023-02-20,5,2,0,2,0,16.4,381.4508331287893,0
2023-02-21,3,2,1,2,0,13.2,413.9005496841686,0
2023-02-21,7,1,1,2,0,17.4,734.8276648496651,0
2023-02-21,6,0,1,2,0,21.2,1154.0190923951752,1
2023-02-21,9,1,1,2,0,17.9,603.3147933663307,0
2023-02-21,5,2,1,2,0,15.3,415.5194276348384,0
2023-02-21,2,1,1,2,0,25.096873120865904,549.6345763369546,0
2023-02-21,8,2,1,2,0,25.096873120865904,404.5431595180089,0
2023-02-22,6,0,2,2,1,16.0,1299.7744616350913,1
2023-02-22,9,1,2,2,0,16.5,740.3894364392398,0
2023-02-22,5,2,2,2,0,14.4,522.705949771673,0
2023-02-22,1,0,2,2,0,21.5,973.7058926239188,1
2023-02-22,4,1,2,2,0,20.2,620.4954617588364,0
2023-02-22,7,1,2,2,0,25.096873120865904,720.43538989287,0
2023-02-22,0,2,2,2,0,21.1,457.00098132822404,0
2023-02-22,8,2,2,2,0,13.0,397.2479661113721,0
2023-02-22,2,1,2,2,0,17.4,524.0191507456985,0
2023-02-22,10,2,2,2,0,21.8,327.6684459562847,0
2023-02-23,6,0,3,2,0,13.0,1131.1506591620525,1
2023-02-23,8,2,3,2,0,17.7,405.4674405957874,0
2023-02-23,5,2,3,2,0,16.5,546.8527633880643,0
2023-02-23,11,0,3,2,0,20.4,1192.3322404395312,1
2023-02-23,0,2,3,2,0,16.2,413.65434681019985,0
